as	  dauchchea	  pen
I	  khnhom	  khaphachao
his	  robsa keat	  lav
that	  tha	  thi
he	  lok ban	  lav
was	  ku	  niaemn
for	  samreab	  soalabkan
on	  now leu	  sud
are	  mean	  aemn
with	  cheamuoynung	  kab
they	  puokke	  phuakkhaochao
be	  chea kar	  cha
at	  now	  yu
one	  muoy	  nung
have	  mean	  mi
this	  nih	  ni
from	  pi	  chak
by	  daoy	  odny
hot	  ktaw	  hon
word	  peaky	  khoa
but	  bonte kar	  aetva
what	  avei del	  singthi
some	  muoychamnuon	  bang
is	  ku	  aemn
it	  vea	  man
you	  anak	  than
or	  ryy	  ru
had	  mean	  dai
the	  nih	  dai
of	  nei	  khong
to	  daembi	  kanthicha
and	  ning	  lae
a	  muoy	  pen
in	  nowknong	  nai
we	  yeung	  phuakhao
can	  ach	  samadheddai
out	  chenh	  k
other	  phsaengtiet	  un
were	  neak	  dai
which	  del	  thi
do	  thveu ban	  hedaenuadai
their	  robsa puokke	  khongkhaochao
time	  pelvelea	  thisaiuaela
if	  brasenbae	  thahakva
will	  nung	  cha
how	  rbieb	  vithikan
said	  niyeay tha:	  kauava
an	  muoy	  pen
each	  knea	  aetlakhon
tell	  brab	  bok
does	  min	  bo
set	  saamnom	  thikoanoduaai
three	  bei neak	  sam
want	  chngban	  tongkan
air	  khyal	  akad
well	  la	  di
also	  ka	  nyang
play	  leng	  rin
small	  tauch	  khanadnony
end	  chongobanhchob	  naitonthai
put	  dak	  aochaisai
home	  phteah	  heuon
read	  an	  an
hand	  dai	  mu
port	  kampngphe	  thi
large	  del mean tomham thom	  khanadhainy
spell	  akkhara viroutth	  kansakodkhoa
add	  banthem	  phoem
even	  saumbite	  thoengaemnva
land	  dei	  thidin
here	  now tinih	  thini
must	  trauv	  tong
big	  thom	  hainy
high	  khpasa	  sung
such	  dauch	  sen
follow	  tam	  patibadtam
act	  sakammopheap	  kodmaivaduany
why	  hetoaveibeanchea	  penjang
ask	  suor	  tham
men	  borsa	  phusai
change	  kar phlasa btaur	  kanpianaepng
went	  ban tow	  dai
light	  ponlu	  aesngsavang
kind	  braphet	  paphed
off	  bet	  pai
need	  trauvkar	  choapentongdai
house	  phteah	  heuon
picture	  roubpheap	  hub
try	  pyeayeam	  phanyaiam
us	  puok yeung	  phuakhao
again	  chea thmei mtong tiet	  iktheuonung
animal	  satv	  sad
point	  chamnoch	  chud
mother	  mteay	  aem
world	  piphoplok	  olk
near	  now kber	  yukai
build	  ksang	  kankosang
self	  daoyokhluoneng	  tonoeng
earth	  phendei	  aephndinolk
father	  aupouk	  pho
any	  namuoy laey	  dai
new	  thmei	  haim
work	  karngear thveu	  kanheduaiak
part	  chea phnek muoy	  suan
take	  yk	  saiuaela
get	  ttuol ban	  daihab
place	  kanleng	  sathanthi
made	  ban thveu	  dai
live	  rsanow	  doalongsivid
where	  del chea kanleng del	  bonthi
after	  banteabpi	  rangchak
back	  tralbmokvinh	  kabkhunpaibon
little	  techtuoch	  phiangleknony
only	  temuoyokt	  phiangaet
round	  choum	  daitarod
man	  borsa mneak	  phusai
year	  kalpi chhnam	  pi
came	  ban mk	  ma
show	  kar bangheanh	  saaednghaihen
every	  chea riengreal	  thuk
good	  la	  di
me	  roub khnhom	  khaphachao
give	  phtal aoy	  hai
our	  robsa yeung	  khongphuakhao
under	  kraom kar	  phaitaikan
name	  chhmoh	  su
very	  yeang khlang	  rai
through	  tamory kar	  odnyphankan
just	  kreante	  phiangaet
form	  saamnom bebabt	  hubaebb
sentence	  kar kattosa	  paojk
great	  da aschary	  thinyinghainy
think	  kit	  khidva
say	  niyeay	  vao
help	  chuoy	  suanyheu
low	  teab	  toa
line	  banteat	  sen
differ	  khosaknea	  khuaamaetktangkan
turn	  ven	  laehedhaikan
cause	  moulheto	  sahed
much	  chraen	  rai
mean	  meannytha	  maikhuaamva
before	  moun pel	  konthicha
move	  kar phlasa btaur	  kankheuonhaiv
right	  setthi	  sid
boy	  kmengobrosa mneak	  dekphusai
old	  ayou	  aiu
too	  phng der	  koenpai
same	  dauchaknea	  diauakan
she	  neang ban	  nang
all	  teangoasa	  thangmod
there	  now tinoh	  mi
when	  pel	  naiuaelathi
up	  laeng	  thoeng
use	  brae	  kannoasai
your	  robsa anak	  khongthan
way	  vithi	  vithikan
about	  ampi	  kiauakab
many	  cheachraen	  choanuanrai
then	  banteabmk	  rangchaknan
them	  puokke	  haikhaochao
write	  sarser	  khian
would	  nung	  cha
like	  dauchchea	  sen
so	  dauchneh	  sanan
these	  teangnih	  heoani
her	  robsa neang	  nang
long	  cheayouromokhaey	  nyav
make	  thveu aoy	  hedhai
thing	  rueng	  kanthodsob
see	  saum meul	  boeng
him	  keat tha	  phraong
two	  pir neak	  song
has	  mean	  mi
look	  meul	  boeng
more	  chraen tiet	  rai
day	  thngai	  mu
could	  ach thveu ban	  samadheddai
go	  chaul tow	  pai
come	  mk	  ma
did	  thveu	  dai
number	  chamnuon	  choanuan
sound	  saamleng	  siang
no	  kmean	  bomi
most	  chraen bamphot	  raithisud
people	  mean mnoussa	  pasason
my	  robsakhnhom	  khongkhaphachao
over	  cheang	  nailainya
know	  doeng	  hu
water	  tuk	  noa
than	  cheang	  kuaa
