id	Kau dalam masalah, Jagoan! 
ar	&rlm;‏أنت بورطة أيها القوي!‏ | 
da	Du skal passe på, mester! 
el	Την έβαψες τώρα, μάγκα! 
en	You're in trouble now, tough guy! | 
es	¡Estás en problemas, grandote! 
es-eu	¡Te la has buscado, tío duro! 
fi	Nyt tulee tupenrapinat, äijä! 
fr	Tu vas morfler, mon gars ! 
he	&rlm;‏אתה בצרות, בחור קשוח!‏ | 
it	Sei nei guai, pallone gonfiato! 
ko	혼쭐 날 줄 알아, 인마! | 
nl	Je hebt problemen, grote jongen. 
no	Du er i trøbbel, tøffen! 
pl	Już po tobie, koleś! 
pt	Arranjaste sarilhos, valentão! 
pt-br	Está encrencado, valentão! 
ro	Ai dat de naiba, durule! 
sv	Du är illa ute, tuffing! 
th	แกเจอดีแน่ ไอ้นักเลง | 
tr	Başın belada kabadayı! 
vi	Mày gặp rắc rối rồi, gã kia! | 
zh-long	你完蛋了，大哥！ 
zh-short	你惹上麻烦了 硬汉！ 
ru	Ну, берегись, бандит! 
ja	覚悟しろよ！ | 

en	[woman screaming] 

