ja	とにかくネタが | めちゃくちゃ面白い | 
id	Yang penting adalah ucapannya. 
pl	Ważne jest to, co mówi. 
th	ที่สำคัญคือสิ่งที่เขาพูด | 
ar	&rlm;‏ما يهم هو ما يقوله.‏ | 
da	Det vigtige er, hvad manden siger. 
el	Σημασία έχουν αυτά που λέει. 
en	The important thing | is what the guy is saying. | 
fi	vaan se, mitä kaveri sanoo. 
fr	L'important, c'est ce qu'il dit. 
he	&rlm;‏מה שחשוב זה מה שהוא אומר.‏ | 
it	Quello che conta sono le battute. 
nl	Het belangrijkste is wat hij zegt. 
no	Det viktige er hva han sier. 
pr-br	O importante é o que o cara diz. 
pr	O importante é o que ele diz. 
ro	Contează ce spune tipul. 
sp-eu	Lo importante es lo que dice. 
sp	Lo importante es lo que dice. 
sv	Det viktiga är vad han säger. 
tr	Önemli olan ne söylediği. 
vi	Điều quan trọng là anh ta nói cái gì. | 
zh-long	重要的是他說話的內容 
zh-short	重要的是他说什么 
ru	Главное - то, что он говорит. 
ko	중요한 건 그 친구의 대사죠 | 

