nl	Stop met praten. 
ru	Сэнди, замолчи. 
id	- Sandy, berhenti bicara. - Baiklah. 
ar	&rlm;‏‏- توقف عن التحدث رجاءً يا "ساندي". | &rlm;‏- حسناً.‏ | 
da	-Sandy, ikke mere snak. -Okay. 
el	-Σε παρακαλώ, σταμάτα να μιλάς. -Εντάξει. 
en	-Sandy, please stop talking. | -All right. | 
es-eu	- Sandy, por favor, deja de hablar. - Vale. 
es	- Sandy, deja de hablar. - Está bien. 
fi	-Älä puhu enää. -Hyvä on. 
fr	- Sandy, tais-toi. - D'accord. 
he	&rlm;‏‏סנדי, בבקשה תפסיק לדבר. | &rlm;‏-בסדר.‏ | 
it	- Sandy, smetti di parlare, per favore. - Va bene. 
ko	- 샌디, 말 좀 그만해요 | - 알았어 | 
no	-Sandy, vær stille. -Ja vel. 
pl	- Zamilcz, proszę. - Dobra. 
pt-br	-Sandy, por favor, pare de falar. -Está bem. 
pt	- Sandy, para de falar. - Está bem. 
ro	- Sandy, nu mai vorbi, te rog. - Bine. 
sv	-Sluta prata. -Okej. 
th	- แซนดี้ กรุณาหยุดพูด | - ก็ได้ | 
tr	-Sandy, lütfen konuşmayı kes. -Peki. 
vi	- Sandy, đừng nói nữa. | - Thôi được. | 
zh-long	-山迪，拜託別說了 -好吧 
zh-short	-桑迪 请你别说了 -好的 
ja	話は終わり | 

en	♪ It was a graveyard smash… ♪ 

