nl	Ga me voor, ThighMaster. 
ru	-Веди меня, «Тай-Мастер». -Так! Минутку. 
id	- Baik. Tunjukkan jalan, ThighMaster. - Hei! Tunggu dulu. 
ar	&rlm;‏‏- تقدمني يا ذا الفخذين القويين. | &rlm;‏- رويدك قليلاً.‏ | 
da	-Du fører an, ThighMaster. -Vent lige lidt. 
el	-Μετά από εσένα, Thigh Master. -Έι, μισό λεπτό. 
en	-Okay, lead the way, ThighMaster. | -Hey! Now, wait a minute. | 
fi	-Näytä tietä, ThighMaster. -Älähän nyt. 
fr	- Je te suis, Fesses d'acier. - Je te permets pas. 
he	&rlm;‏‏אחריך, מחטב ירכיים. | &rlm;‏-היי! חכי רגע.‏ | 
it	- Ti seguo, ThighMaster. - Ehi! Aspetta un minuto. 
no	-Vis vei, ThighMaster. -Hei! Vent nå litt. 
pl	- Prowadź, Thighmasterze. - Wypraszam sobie. 
pr-br	-Você na frente, bunda sarada. -Ei! Espere aí. 
pr	- Vai à frente, nádegas firmes. - Espera lá. 
ro	- Deschide drumul, dle Flexor! - Stai așa un pic! 
sp-eu	- Tú mandas, ThighMaster. - Espera. 
sp	- Tú guíame, ThighMaster. - ¡Oye! Espera un minuto. 
sv	-Visa vägen, ThighMaster. -Hallå! Ta det lugnt. 
th	- นำทางไปเลย เครื่องกระชับต้นขา | - เฮ่ เดี๋ยว รอแป๊บ | 
tr	-Önden buyur ThighMaster. -Hey! Dur bir dakika. 
vi	- Anh dẫn đường đi, ThighMaster. | - Này! Khoan đã. | 
zh-long	-帶路，美腿王 -等一下 
zh-short	-带路 腿媚施 -嘿！等一下 
ko	- 안내하세요, 허벅지 대장님 | - 뭐야! 잠깐만 | 
ja	もっと鍛えて | 

