ja	レフェリーもうちの所属だ | “家族”は助け合うものさ | 
id	Wasitnya seorang klien 
ru	Рефери - мой клиент. 
ar	&rlm;‏‏الحكم زبوني، وزبائن "ويكسلر أرتيستس" | &rlm;‏يهتمون ببعضهم.‏ | 
da	Dommeren er en klient, og Wexler Artists passer på hinanden. 
el	Ο διαιτητής είναι πελάτης μου και η ομάδα φροντίζει τα μέλη της. 
en	The referee is a client, and | Wexler Artists look out for each other. | 
es	El referí es cliente, y en Artistas Wexler nos cuidamos entre nosotros. 
es-eu	El árbitro es cliente, y los artistas de Artistas Wexler se cuidan unos a otros. 
fi	Tuomari on asiakkaani. Wexlerin artistit pitävät huolta toisistaan. 
fr	L'arbitre est un client, et chez moi, on se serre les coudes. 
he	&rlm;‏‏השופט הוא לקוח, | &rlm;‏ו"וקסלר אמנים" דואגים זה לזה.‏ | 
it	L'arbitro è un mio cliente e alla Wexler Artists ci si dà una mano. 
ko	심판이 우리 고객이야 | 동료끼리 서로 봐줘야지 | 
nl	De scheidsrechter is een cliënt en Wexler Artists zorgen voor elkaar. 
no	Dommeren er en klient. Wexler Artists passer på hverandre. 
pl	Sędzia to mój klient, a w Wexler Artists sobie pomagamy. 
pt-br	O árbitro é um cliente e um cuida do outro na Artistas Wexler. 
pt	O árbitro é um cliente e na Wexler Artists olhamos uns pelos outros. 
ro	Arbitrul lor ne e client, iar la Wexler Artists avem grijă unul de celălalt. 
sv	Domaren är en klient och Wexler Artists månar om varandra. 
th	กรรมการเป็นลูกค้าคนหนึ่ง | เวกซเลอร์อาร์ทิสต์สดูแลกันและกัน | 
tr	Hakem benim sanatçımdı ve Wexler Sanatçıları birbirini kollar. 
vi	Trọng tài là một khách hàng, | và Nghệ sĩ Wexler chăm sóc nhau. | 
zh-long	裁判是我的人 韋克斯勒家族互相關照 
zh-short	裁判是我的客户 韦克斯勒艺人公司的人互帮互助 
id	dan Wexler Artists saling menjaga. 
ru	«Уэкслер Артистс» помогают друг другу. 

en	♪ Go ahead and get spooky ♪ 

