ja	構わない | 
ar	&rlm;‏بالطبع،‏ | 
da	Ja, selvfølgelig, 
el	Φυσικά, 
en	Of course they are, | 
fi	Totta kai, 
fr	C'est sûr, 
he	&rlm;‏בוודאי שהם יפטרו אותו,‏ | 
it	Certo che lo faranno, 
no	Selvsagt, 
pl	Oczywiście, 
pr-br	Claro que vão, 
pr	É claro, 
ro	Normal, 
sp-eu	Claro que sí. 
sp	Por supuesto que lo harán, 
th	แน่นอน | 
tr	Tabii kovacaklar 
vi	Tất nhiên là thế, | 
zh-long	那當然 
zh-short	这是当然了 
nl	Natuurlijk, maar ik heb een baan voor hem als scheids voor de Harlem Globetrotters. 
ru	Конечно, но я устрою его работать рефери в «Гарлем Глобтроттерс». 
sv	Självklart, men jag har fixat jobb åt honom för Harlem Globetrotters. 
ko	물론 그럴 거야 | 
id	Tentu saja, 

