ja	クビだ | 
ar	&rlm;‏‏- أنا أقيلك. | &rlm;‏- يا إلهي! بربك!‏ | 
da	-Du er fyret! -Nej! Hold nu op! 
el	-Απολύεσαι. -Όχι! Έλα τώρα! 
en	-You're fired. | -Oh, God! Come on! | 
es	- Estás despedido - ¡Dios mío! ¡Vamos! 
es-eu	- Estás despedido. - ¡Por favor! ¡Vamos! 
fi	-Saat potkut. -Älä viitsi! 
fr	- T'es viré. - C'est pas vrai ! 
he	&rlm;‏‏אתה מפוטר. | &rlm;‏-אלוהים! בחייך!‏ | 
it	- Sei licenziato. - Oddio! Ma andiamo! 
nl	Je bent ontslagen. 
no	-Du har sparken. -Herregud! Ærlig talt! 
pl	- Zwalniam cię. - No weź! 
pt-br	-Você está demitido. -Meu Deus! Qual é? 
pt	- Estás despedido. - Céus! Vá lá! 
ro	- Ești concediat! - Doamne! Fii serios! 
sv	-Du är avskedad. -Nej. Kom igen. 
th	- ไล่นายออก | - โอ้ พระเจ้า ไม่เอาน่า | 
tr	-Kovuldun. -Tanrım! Hadi ama! 
vi	- Anh bị sa thải. | - Chúa ơi! Thôi nào! | 
zh-long	-你被炒了 -可惡！ 
zh-short	-你被开了 -天啊！别啊！ 
id	- Kau dipecat. - Astaga! Ayolah! Jangan! 
ru	-Ты уволен. -Боже! Ты что? 
ko	- 당신 해고예요 | - 무슨 소리야! | 

