id	Apa yang terjadi? 
ja	なんでこんな事に | 
ar	&rlm;‏ما الذي يحدث هنا؟‏ | 
da	Hvad i alverden foregår her? 
el	Τι στην ευχή συμβαίνει εδώ; 
en	What the hell is going on here? | 
es-eu	¿Qué está pasando? 
es	¿Qué rayos sucede aquí? 
fi	Mitä ihmettä? 
fr	C'est pas possible. 
he	&rlm;‏מה קורה כאן לעזאזל?‏ | 
it	Ma che diavolo sta succedendo? 
nl	Wat is hier aan de hand? 
no	Hva i helvete er det som skjer her? 
pl	Co się dzieje? 
pt-br	Que diabos está acontecendo aqui? 
pt	O que estás a fazer? 
ro	Ce naiba se întâmplă? 
sv	Vad tusan är det som händer? 
th	เกิดอะไรขึ้นล่ะเนี่ย | 
tr	Burada neler oluyor? 
vi	Chuyện quái gì đang xảy ra vậy? | 
zh-long	現在是怎樣？ 
zh-short	到底怎么了？ 
ru	Что здесь происходит? 
ko	대체 이게 무슨 일이지? | 

