ar	&rlm;‏لكنك رأيتني‏ | 
da	Men du så mig 
el	Όμως με είδες 
en	♪ But you saw me ♪ | 
es-eu	Pero tú me viste 
es	Pero tú me viste 
fi	Mutta sä näit mut 
fr	Mais tu m'as vue 
he	&rlm;‏אבל אתה ראית אותי‏ | 
it	Ma tu mi hai visto 
ko	당신은 나를 봤어 | 
nl	maar jij zag me 
pl	Ale dostrzegłeś mnie 
pt-br	Mas você me viu 
pt	Mas tu viste-me 
ro	Dar tu m-ai văzut 
sv	Men du såg mig 
tr	Ama sen beni gördün 
vi	Nhưng anh đã nhìn thấy em | 
zh-long	但你看見了我 
zh-short	可你看好我 
ja	でもあなたは見つけてくれた | 
id	Namun, kau melihatku 
ru	Но ты увидел меня 
th	แต่คุณเห็นฉัน | 

