fr	Oui, tu m'as vue 
ar	&rlm;‏أجل، رأيتني‏ | 
da	Ja, du så mig 
el	Ναι, με είδες 
en	♪ Yeah, you saw me ♪ | 
es-eu	Sí, tú me viste 
es	Sí, me viste 
fi	Sä näit mut 
he	&rlm;‏כן, אתה ראית אותי‏ | 
it	Sì, tu mi hai visto 
nl	ja, jij zag me 
pl	Dostrzegłeś mnie 
pt-br	Sim, você me viu 
pt	Sim, tu viste-me 
sv	Ja, du såg mig 
tr	Evet, beni gördün 
vi	Phải, anh đã thấy em | 
zh-long	對，你看見了我 
zh-short	是的 你看好我 
ko	그래, 나를 봤어 | 
ja	私のことを見てくれた | 
ru	Да, ты увидел меня 
id	Ya, kau melihatku 
th	ใช่ คุณเห็นฉัน | 
ro	Da, m-ai văzut 

