ru	-Не согласен. -Послушай! 
id	- Aku tidak setuju. - Tidak. Dengar. 
ja	違うね | 
nl	Niet waar. 
fi	-Enpä usko. -Kuule. 
zh-short	-我不同意 -不 听着 
tr	-Katılmıyorum. -Hayır, bak. 
th	- ฉันไม่เห็นด้วย | - ไม่ ฟังนะ | 
el	-Δε συμφωνώ. -Κοίτα. 
ar	&rlm;‏‏- لا أوافقك الرأي. | &rlm;‏- اسمع.‏ | 
da	-Jeg er ikke enig. -Hør her. 
en	-I don't agree. | -No, look. [stammers] | 
es-eu	- No estoy de acuerdo. - No, mira. 
es	- No estoy de acuerdo. - No, mira. 
fr	- Je ne suis pas d'accord. - Écoute. 
he	&rlm;‏‏אני לא מסכים. | &rlm;‏-לא, תראה.‏ | 
it	- Non sono d'accordo. - No, senti. 
ko	- 그렇게 생각 안 해 | - 들어봐 | 
no	-Jeg er ikke enig. -Jo, hør her. 
pt-br	-Não concordo. -Não, olhe. 
pt	- Não concordo. - Não, ouve. 
ro	- Nu sunt de acord. - Uite! 
vi	- Tôi không đồng ý. | - Không, nghe này. | 
zh-long	-沒這回事 -聽我說 
sv	-Jag håller inte med. -Hör på. 
pl	- Nie zgadzam się. - Słuchaj. 

