id	Hei! Kau payah! 
ru	Эй! 
ar	&rlm;‏أنت! أنت سيئ!‏ | 
da	Du er elendig! 
el	Έι! Είσαι άθλιος! 
en	Hey! Hey! You suck! | 
fi	Hei! Olet surkea! 
he	&rlm;‏היי! אתה דפוק!‏ | 
it	Ehi! Fai schifo! 
ko	당신 더럽게 못 해! | 
no	Hei! Du suger! 
pl	Hej! Jesteś do bani! 
pr-br	Ei! Você é uma droga! 
pr	Tu aí! Metes nojo! 
ro	Ești varză! 
sp-eu	¡Oye! ¡Das asco! 
sp	¡Oye! ¡Apestas! 
sv	Du där! Du suger! 
th	เฮ้ย เฮ้ย แกห่วย | 
tr	Hey! Berbatsın! 
vi	Này! Chán chết! | 
zh-long	嘿！你唱得有夠難聽！ 
zh-short	嘿！你逊毙了！ 
nl	Hé. Je bent echt slecht. -Heel grappig, Weird Al. 
fr	T'es nul ! 
ja	ヘタクソ！ | 
ru	Ты - говно! 

