ru	Фируз вас не подведет. 
ja	ファルースにお任せを | 
id	Izinkan Firuz melayanimu. 
ar	&rlm;‏دعي "فيروز" يهتم جيداً بك.‏ | 
da	Lad Firuz tage sig af dig. 
el	Θα σας φροντίσει ο Φαρούζ. 
en	Let Firuz take good care of you. | 
fi	Firuz pitää teistä hyvää huolta. 
fr	Firuz s'occupe de tout. 
he	&rlm;‏תני לפירוז לטפל בך טוב.‏ | 
it	Lasci che Firuz si prenda cura di lei. 
nl	Firuz zorgt goed voor je. 
no	La Firuz ta godt vare på deg. 
pl	Firuz się panią zajmie. 
pr-br	Deixe Firuz cuidar bem de você. 
pr	Deixe que o Firuz cuide de si. 
ro	Lăsați-l pe Firuz să aibă grijă de dv. 
sp	Deja que Firuz se encargue de ti. 
sp-eu	Deje que Firuz cuide de usted. 
sv	Låt Firuz ta hand om dig. 
th	ให้ไฟรูซดูแลคุณเอง | 
tr	Kendinizi Firuz'un ellerine bırakın. 
vi	Cứ để Firuz chăm sóc cô. | 
zh-long	菲魯茨會好好照顧妳 
zh-short	放心交给菲鲁兹就行了 
ko	퍼루즈가 돌봐드리죠 | 

