ja	遊園地生まれの美しい白鳥 | 
ru	Прекрасный лебедь из «Волшебной горы». 
id	Angsa cantik dari Magic Mountain. 
ar	&rlm;‏البجعة الجميلة من "ماجيك ماونتن".‏ | 
da	Den smukke svane fra Magic Mountain. 
el	Ο όμορφος κύκνος από το Μαγικό Βουνό. 
en	The beautiful swan from Magic Mountain. | 
es	El hermoso cisne de la Montaña Mágica. 
es-eu	El hermoso cisne de Magic Mountain. 
fi	Kaunis joutsen Magic Mountainista. 
fr	Le cygne magnifique de la Montagne magique. 
he	&rlm;‏הברבור היפה ממג'יק מאונטיין.‏ | 
it	Lo splendido cigno del Magic Mountain. 
ko	매직 마운틴의 아름다운 백조지 | 
nl	De mooie zwaan van Magic Mountain. 
no	Den vakre svanen fra Magic Mountain. 
pl	Piękny łabędź z parku Magic Mountain. 
pt-br	O lindo cisne do Magic Mountain. 
pt	O lindo cisne da Magic Mountain. 
ro	Lebăda cea frumoasă, din parcul de distracții. 
sv	Den vackra svanen från Magic Mountain. 
th	หงส์แสนสวยจากแมจิกเมาน์เทน | 
tr	Büyülü Dağ'ın güzel kuğususun. 
vi	Con thiên nga tuyệt đẹp từ Núi Phép màu. | 
zh-long	魔術山上美麗的天鵝 
zh-short	魔幻山的美丽天鹅 

