ar	&rlm;‏‏أتعرفين؟ وصف لي طبيبي | &rlm;‏دواء غدة درقية جديداً.‏ | 
da	Min læge har givet mig ny skjoldbruskkirtelmedicin. 
el	Ξέρεις, ο γιατρός μού άλλαξε το φάρμακο για το θυρεοειδή. 
en	You know what? My doctor put me | on a new thyroid medicine. | 
fi	Lääkäri määräsi uuden kilpirauhaslääkkeen. 
fr	Mon généraliste a changé mon traitement pour la thyroïde. 
he	&rlm;‏‏את יודעת מה? הרופא שלי נתן לי תרופה חדשה | &rlm;‏לבלוטת התריס שלי.‏ | 
it	Il mio medico mi ha dato una nuova cura per la tiroide. 
ko	사실 의사가 | 새 갑상선 약을 주면서 | 
nl	De dokter heeft me een nieuw schildkliermedicijn gegeven. 
no	Vet du hva? Legen har satt meg på en ny medisin. 
pl	Lekarz przepisał mi nowe leki na tarczycę. 
pr-br	Sabe, meu médico trocou meu remédio da tireoide. 
pr	O médico receitou-me um medicamento novo para a tiroide. 
ro	Știi ce? Doctorul mi-a prescris alte pastile pentru glanda tiroidă. 
sp-eu	Mi médico me ha cambiado la medicación para la tiroides. 
sp	¿Sabes? Mi médico me recetó un nuevo medicamento para la tiroides. 
sv	Vet du vad? Doktorn har gett mig ny sköldkörtelmedicin. 
th	รู้ไหม หมอสั่งยาไทรอยด์ใหม่ให้ผม | 
tr	Bak ne diyeceğim, doktorum yeni bir tiroit hapı verdi. 
vi	Bác sĩ của tôi cho tôi uống | loại thuốc mới để trị tuyến giáp. | 
zh-long	醫生幫我換了新的甲狀腺藥 
zh-short	知道吗 医生给我开了新的甲状腺药 
id	Begini, dokterku memberiku obat tiroid yang baru. 
ru	Мне прописали новое лекарство от щитовидки. 
ja	甲状腺の薬を替えたんだ | 

es	Luego añadió: "Debe terminar. 
cs	A pak dodal: 
sv	Sen fortsatte han: 
fi	Ja lopuksi hän sanoi: | 
da	Så sagde han: "Det må stoppe. | 
el	Και μετά είπε "Πρέπει να τελειώσει. 
es-eu	Y luego dijo: "Tiene que acabarse. 
he	‫ואז הוא אמר, "זה חייב להסתיים.‬ | 
hr	I dodao je: „To se mora završiti. 
id	Lalu dia berkata, "Ini harus berakhir. 
ja	&lrm;そして “終わらせねば” | 
ko	&lrm;그러더니 말했어요 | &lrm;'끝내야 해요' | 
ms	Kemudian dia kata, "Ia perlu berakhir. 
nl	En toen zei hij: 'Er moet een eind aan komen. 
pt-br	E então, ele disse: "Isso tem que acabar. 
pt	E depois disse: "Isto tem de acabar. 
ru	А потом он сказал: «Это должно закончиться. 
th	&lrm;แล้วเขาก็บอกว่า "มันต้องจบแล้ว" | 
uk	Потім він сказав: «Треба покінчити з цим». 
vi	&lrm;Và rồi cậu ấy nói: "Nó phải kết thúc". | 
zh-long	然後他說：“此事一定得結束 
zh-short	然后他说：“这件事必须结束” 
fr	Et il a dit : "Il faut que ça s'arrête. Tout est de la faute de Guru." 
it	E poi ha detto: "Deve finire. È tutta colpa di Guru". 
ro	Apoi a zis că trebuie să se sfârșească, că Guru poartă toată vina. 
tr	Sonra da "Bu sona ermeli, hepsi Guru'nun suçu" dedi. 
hu	Aztán azt mondta, „Be kell fejezni.” 
en	And then he said, "It has to end." 
no	Og så sa han "Det må ta slutt." 
sv	"Det måste få ett slut. Allt är Gurus fel." 
fi	"Sen on loputtava. | 
cs	„Musí to skončit. Všechno je to Guruova vina.“ 
pt-br	É tudo culpa de Guru." 
uk	«Це Гуру винен». 
fi	Se on Gurun syytä." | 
es	Es todo culpa de Gurú". 
da	Det hele er Gurus skyld." | 
el	Για όλα φταίει ο Γκουρού". 
en	"It's all Guru's fault." 
es-eu	Todo es culpa de Guru". 
he	‫זה הכול באשמת גורו".‬ | 
hr	Za sve je Guru kriv.” 
hu	„Mindenről Guru tehet.” 
id	Itu semua salah Guru." 
ko	&lrm;'다 구루 때문이에요' | 
ms	Ini semua salah Guru." 
nl	Het is de schuld van Guru.' 
no	"Alt er Gurus feil." 
pt	A culpa é do Guru." 
ru	Во всём виноват Гуру». 
th	&lrm;"เป็นความผิดของกูรู" | 
vi	&lrm;Tất cả là lỗi của Sư Phụ". | 
zh-long	這全是大師的錯” 
zh-short	“这都是大师的错” 
ja	&lrm;“全てグルのせいだ”と | 

