ar	&rlm;‏من؟ "بيفس"؟‏ | 
da	Hvem? Beavis? 
el	Ποιος; Ο Μπίβις είσαι; 
en	[stammers] Who? Beavis? | 
es-eu	¿Quién? ¿Beavis? 
es	¿Quién? ¿Beavis? 
fr	Qui ? Beavis ? 
he	&rlm;‏מי? ביוויס?‏ | 
it	Chi sei? Beavis? 
nl	Wie? Beavis? 
pl	To kto? Beavis? 
pt-br	Quem? Beavis? 
pt	Quem? Beavis? 
ro	Cine? Beavis? 
sv	Vem då? Beavis? 
th	ใคร บีวิสเหรอ | 
tr	Kim? Beavis mi? 
vi	Ai? Beavis? | 
zh-long	不然咧？癟四？ 
zh-short	是谁？瘪四？ 
ja	ビーバスなのか？ | 
ru	Кто? Бивис? 
fi	Kuka? Beavis? 
no	Hvem? Beavis? 
id	Siapa? Beavis? 
ko	그럼 비비스인가? | 

