ja	君たちはいい子で | 番組も面白い | 
ru	Вы хорошие ребята, и мне нравится ваша работа. 
ar	&rlm;‏‏اسمعا، أنتما غلامان جيدان | &rlm;‏وأنا أحب ما تقومان به.‏ | 
da	I er nogle gode knægte, og jeg kan lide det, I laver. 
el	Κοίτα, είστε καλά παιδιά και μου αρέσει αυτό που κάνετε. 
en	Look, you're good kids, | and I like what you're doing. | 
es-eu	Sois unos buenos chicos, y me gusta lo que hacéis. 
es	Ustedes son buenos chicos, me gusta lo que hacen. 
fi	Olette kunnon poikia. Tykkään työstänne. 
fr	Vous êtes de braves gosses, et j'aime ce que vous faites. 
he	&rlm;‏‏תראה, אתם ילדים טובים | &rlm;‏ואני אוהב מה שאתם עושים.‏ | 
id	Dengar, kalian anak-anak baik dan aku suka pekerjaan kalian. 
it	Siete bravi ragazzi e fate cose interessanti. 
nl	Jullie zijn goeie jongens en doen leuke dingen. 
no	Dere er gode gutter, og jeg liker det dere gjør. 
pl	Dobre z was dzieciaki i podoba mi się to, co robicie. 
pt-br	Vocês são bons garotos e gosto do que estão fazendo. 
pt	Vocês são bons miúdos e gosto do que estão a fazer. 
ro	Uite, sunteți copii buni și-mi place munca voastră. 
sv	Jag gillar det ni gör, grabbar. 
th	ฟังนะ เธอเป็นเด็กดี | และฉันชอบที่เธอทำ | 
tr	Siz iyi çocuklarsınız, yaptığınız işi de seviyorum. 
vi	Nghe này, các cậu rất ngoan | và tôi thích việc các cậu đang làm. | 
zh-long	你是個好孩子，我欣賞你的行為 
zh-short	听着 你们是好孩子 我喜欢你们能打电话来道歉 
ko	너희는 좋은 녀석들이고 | 너희가 하는 일도 좋아해 | 

