id	Dia Raja Hollywood. 
en	He's the king of Hollywood. | 
ru	-Он король Голливуда. -Я якобы сказал это собакам. 
ar	&rlm;‏‏- إنه ملك "هوليوود". | &rlm;‏- تظنني قلت ذلك للكلاب لكنني لم أفعل. | 
da	-Han er kongen af Hollywood. -Hun tror, jeg sagde det til hundene. 
el	-Είναι ο Βασιλιάς του Χόλιγουντ. -Πιστεύει ότι το είπα στα σκυλιά. 
fi	-Hän on Hollywoodin kuningas. -Hän luulee, että sanoin koirille niin. 
fr	- C'est le roi d'Hollywood. - Elle croit que j'ai dit ça aux chiens. 
he	&rlm;‏‏הוא המלך של הוליווד. | &rlm;‏-היא חושבת שאמרתי את זה לכלבים.‏ | 
it	- È il re di Hollywood. - Crede che lo abbia detto ai cani. 
ko	- 할리우드의 왕이세요 | - 제가 개들한테 그랬다네요 | 
nl	Hij is de koning van Hollywood. -Volgens haar zei ik dat, maar niet dus. 
no	-Han er kongen av Hollywood. -Hun tror jeg sa det til hundene. 
pl	- To król Hollywoodu. - Myśli, że powiedziałem to psom. 
pr-br	-Ele é o rei de Hollywood. -Ela acha que eu disse isso aos cachorros. 
pr	- É o rei de Hollywood. - Ela pensa que eu disse isso aos cães. 
ro	- E regele Hollywoodului. - Crede că așa le-am zis câinilor. 
sp	- Es el rey de Hollywood. - Creen que les dije eso a los perros. 
sp-eu	- Es el rey de Hollywood. - Cree que se lo dije a los perros. 
sv	-Han är kungen av Hollywood. -Hon tror jag sa så till hundarna. 
th	- เขาคือราชาฮอลลีวูด | - เธอคิดว่าผมพูดกับหมาแบบนั้น แต่เปล่า | 
tr	-O Hollywood'un kralı. -Köpeklere öyle dedim sanıyor ama demedim. 
vi	- Chú ấy là vua Hollywood. | - Nó nghĩ tôi nói với lũ chó, nhưng không. | 
zh-long	-他是好萊塢之王 -她以為我對狗說這種話，但我沒有 
zh-short	-他是好莱坞国王 -她觉得我对狗说了 不过没有 
ja	王様よ | 

en	Remember our Jane Doe from the dumpster? 

