ja	“パパがいいと言ったら” | 
id	Aku mau, tapi kita harus tanya ayahku lebih dulu. 
ru	Хорошо, но сперва я спрошу папу. 
pr-br	Eu adoraria, mas tenho que pedir ao meu pai. 
ar	&rlm;‏أود ذلك، لكن يجب أن نطلب أذن أبي أولاً. | 
da	Det vil jeg gerne, men vi må spørge min far. 
el	Μετά χαράς, αλλά να ρωτήσουμε τον μπαμπά μου. 
en	I'd love to, | but we gotta ask my dad first. | 
fi	Mielelläni, mutta meidän pitää kysyä isältäni. 
fr	Avec plaisir, mais on doit demander à mon père. 
he	&rlm;‏ברצון, אבל עלינו לשאול את אבא שלי.‏ | 
it	Vorrei, ma dobbiamo chiedere a mio padre. 
ko	그러고는 싶지만 | 아빠한테 먼저 물어봐야 해요 | 
nl	Graag, maar we moeten het aan m'n vader vragen. 
no	Gjerne, men vi må spørre faren min. 
pl	Chętnie, ale muszę zapytać tatę. 
pr	Adorava, mas primeiro temos de pedir ao meu pai. 
ro	Mi-ar plăcea, dar trebuie să-i cer voie lui tata. 
sp-eu	Me encantaría, pero hay que preguntarle a mi padre. 
sp	"Me encantaría, pero debo preguntarle a mi papá". 
sv	Gärna, men jag måste fråga pappa. 
th	ฉันก็อยากนะ แต่ต้องถามพ่อก่อน | 
tr	Çok isterdim ama babama sormalıyım. 
vi	Tôi rất muốn, | nhưng phải hỏi ý kiến bố tôi đã. | 
zh-long	我很樂意，但得先問過我爸 
zh-short	我很愿意 但这要问过我爸 

