ja	芸能ビジネスと友情は | 共存しない | 
id	Pahamilah ini bisnis hiburan, bukan persahabatan hiburan. 
nl	Het is showbusiness, geen show-vriendschap. 
ar	&rlm;‏‏أفهم الآن أنه عمل استعراض | &rlm;‏وليس صداقة استعراض. صحيح؟‏ | 
da	Det er showbusiness, ikke showvenskab. 
el	Τώρα ξέρω ότι η φιλία δε χωράει στο χώρο του θεάματος. 
en	Now understand it's show business, | not show friendship. Right? | 
fi	Se on showbisnestä, ei showystävyyttä. 
fr	Dans le show-business, il faut mettre l'amitié de côté. 
he	&rlm;‏‏תביני אלה עסקי השעשועים, | &rlm;‏לא עסקי החברות. נכון?‏ | 
it	Si chiama industria dello spettacolo, non dell'amicizia. Giusto? 
no	Det er showbusiness, ikke show-vennskap. Ikke sant? 
pl	To show-biznes, a nie show-przyjaźń. 
pr-br	Agora, entenda que é show business, não amizade. Certo? 
pr	É o mundo do espetáculo, não é o mundo da amizade. Certo? 
ro	De asta e industria spectacolelor, nu a prieteniei. Da? 
sp	Ahora entiendo que son negocios, no amistad. 
sp-eu	Es el negocio del espectáculo, no la amistad del espectáculo. ¿Vale? 
sv	Kom ihåg att det är showbusiness, inte show-vänskap, okej? 
th	ต้องเข้าใจว่ามันคือธุรกิจบันเทิง | ไม่ใช่มิตรภาพบันเทิง ใช่ไหม | 
tr	Şimdi anlıyorum ki şov işi bu, şov arkadaşlığı değil. Değil mi? 
vi	Hãy hiểu đây là ngành giải trí, | không phải ngành tình bạn. Được chứ? | 
zh-long	這是演藝圈，不是交友圈，對吧？ 
zh-short	现在明白了这是演艺事业 不是展示友情 
ko	연예계지 우정 쌓기가 아니잖아 | 내 말 맞지? | 
ru	Это ведь шоу-бизнес, а не шоу-дружба... верно? 

