ar	&rlm;‏بمن اتصلت؟‏ | 
da	Hvem ringede jeg til? 
el	Σε ποιον τηλεφώνησα; 
en	Who did I call? | 
fi	Kenelle minä soitin? 
fr	J'ai appelé qui ? 
he	&rlm;‏למי התקשרתי?‏ | 
it	Chi ho chiamato? 
ko	누구한테 전화했는데? | 
nl	Wie belde ik? 
pl	A do kogo dzwoniłem? 
pr	A quem é que eu liguei? 
pr-br	Para quem eu liguei? 
ro	Pe cine am sunat? 
sp	¿A quién llamé? 
sp-eu	¿A quién he llamado? 
sv	Vem ringde jag? 
tr	Kimi aramışım? 
vi	Tôi gọi cho ai cơ? | 
zh-long	我打給誰了？ 
zh-short	我给谁打电话了？ 
ja	誰だっけ？ | 
no	-Hvem ringte jeg? -Fyren fra Young Comedians Special. 
id	Siapa? 
ru	Кому я звонил? 
th	ใครล่ะที่ฉันโทรไปหา | 

