id	Ya, terima kasih. 
ja	仲良くやろう | 
ar	&rlm;‏أجل، شكراً لك.‏ | 
da	Tak skal du have. 
el	Ευχαριστώ. 
en	Yeah, thank you. | 
es-eu	Sí, gracias. 
es	Sí, gracias. 
fi	Kiitos. 
fr	Oui, merci. 
he	&rlm;‏כן, תודה.‏ | 
it	Sì, grazie. 
ko	그래, 고마워 | 
no	Ja, takk. 
pl	Dziękuję. 
pt-br	Sim, obrigado. 
pt	Sim, obrigado. 
ro	Da, mersi. 
sv	Tack ska du ha. 
th	ใช่ ขอบคุณ | 
tr	Evet, sağ ol. 
vi	Phải, cảm ơn. | 
zh-long	謝啦 
zh-short	好 谢谢 
ru	Да, спасибо. 

en	♪ I'll show you something That you've never seen ♪ 

