ja	ついカッとなった　ごめんよ | 
id	Benar. Maaf, aku menjadi emosi, Bung. Tom, kau tidak mendengarkan. 
ru	Прости, я погорячился, но ты не слушал. 
ar	&rlm;‏صحيح. آسف لأنني غضبت، لكنك لم تكن تسمع.‏ | 
da	Beklager, jeg hidsede mig op, men du lyttede ikke. 
el	Με συγχωρείς που εκνευρίστηκα, αλλά δε μ' άκουγες. 
en	All right. I'm sorry I got hot there, | Tom, but you weren't listening. | 
fi	Anteeksi, että kiivastuin, mutta et kuunnellut. 
fr	Désolé de m'énerver, mais tu n'écoutes pas. 
he	&rlm;‏נכון. אני מצטער שהתחממתי, אבל לא הקשבת.‏ | 
it	Scusa se mi sono alterato, ma tu non mi ascolti. 
ko	흥분해서 미안해 | 자네가 내 말을 안 듣잖아 | 
nl	Sorry dat ik boos werd, maar je luisterde niet. 
no	Ja. Beklager at jeg ble sint, men du hørte ikke etter. 
pl	Przepraszam, że się uniosłem, ale nie słuchałeś mnie. 
pr-br	Desculpe por ter me irritado, mas você não estava ouvindo. 
pr	Certo. Desculpa ter-me enervado, mas não estavas a ouvir. 
ro	Scuză-mă că m-am aprins, dar nu mă ascultai. 
sp-eu	Está bien. Siento haberme cabreado, pero no me estabas escuchando. 
sp	Perdón por enojarme, pero no me estabas escuchando. 
sv	Ledsen att jag brusade upp, men du lyssnade inte. 
th	ขอโทษที่ผมแรงไปหน่อย | แต่คุณไม่ฟังผมเลย | 
tr	Doğru. Öfkelendiğim için özür dilerim ama beni dinlemiyordun. 
vi	Vâng. Tôi xin lỗi vì nổi nóng, | nhưng anh không chịu nghe. | 
zh-long	好，抱歉我抓狂 但你沒在聽我說話 
zh-short	行了 很抱歉我发火了 可你刚才没听我说话 

