ru	Прекрасно выглядишь. 
ar	&rlm;‏تبدين مذهلة.‏ | 
da	Du ser skøn ud. 
el	Είσαι εκθαμβωτική. 
en	You look stunning. | 
fi	Näytät upealta. 
fr	Tu es ravissante. 
he	&rlm;‏את נראית מהמם.‏ | 
id	Kau terlihat cantik. 
it	Sei splendida. 
ko	정말 예쁘네 | 
nl	Je bent prachtig. 
no	Du ser flott ut. 
pl	Wyglądasz bosko. 
pr-br	Você está incrível. 
pr	Estás deslumbrante. 
ro	Ești superbă! 
sp	Estás deslumbrante. 
sp-eu	Estás impresionante. 
sv	Du är jättesnygg. 
th	คุณดูสวยมาก | 
tr	Müthiş görünüyorsun. 
vi	Cô tuyệt quá. | 
zh-long	妳好美 
zh-short	你光彩照人 
ja	きれいだね | 

