ru	Как можно слышать фигуру? 
ar	&rlm;‏كيف يمكنك سماع شكل؟‏ | 
da	Hvordan kan du høre en form? 
el	Πώς ακούς ένα σχήμα; 
en	How can you hear a shape? | 
es	¿Cómo puedes oír una forma? 
es-eu	¿Cómo se oye una forma geométrica? 
fi	Miten muodon voi kuulla? 
fr	Une forme, ça s'entend pas. 
he	&rlm;‏איך אתה מצליח לשמוע צורה?‏ | 
it	Come si fa a sentire una forma? 
ko	모양을 어떻게 들어요? | 
no	Hvordan kan du høre en form? 
pl	Słyszysz kształty? 
pt-br	Como consegue ouvir uma forma? 
pt	Como consegues ouvir uma forma? 
ro	Cum poți să auzi o formă? 
sv	Hur kan du höra en form? 
th	จะได้ยินเสียงรูปทรงได้ยังไง | 
tr	Bir şekli nasıl duyabilirsin? 
vi	Sao anh nghe được hình dạng? | 
zh-long	形狀怎麼聽得出來？ 
zh-short	你怎么能听出形状来？ 
nl	Kun je een vorm horen? -Het instrument. 
ja	三角形(トライアングル)？ | 
id	Kau bisa dengar bentuk? 

hr	Pa... 
ar	‫لدي بعضها.‬ | 
cs	Ale jo. Pár jich mám. 
da	Jeg har et par stykker. 
el	Ναι, έχω μερικές. 
en	Well, I have a few. 
es	Bueno, tengo algunos. 
es-eu	Tengo unos cuantos. 
fi	No, minulla on muutama. 
fr	J'en ai tout un tas. 
he	‫טוב, יש לי כמה.‬ | 
hu	Hát, van itt egy pár darab. 
id	Aku bawa beberapa batang. | 
it	Beh, ne ho un po'. 
ja	&lrm;実は いくつか持ってる | 
nl	Ik heb er een paar. 
no	Vel, jeg har et par. 
pl	Mam kilka. 
pt	Bem, tenho alguns. 
pt-br	Bem, eu tenho alguns. 
ro	Am câteva. 
th	อ๋อ ผมมีสองสามแท่ง 
tr	Birkaç tane var. 
vi	Chà, tôi có vài thanh. 
zh-long	其實…我剛好有帶幾個 
zh-short	我有几个 
hr	Imam ih nekoliko. 
ko	몇 개 가져왔지 

