ar	&rlm;‏أجل، سنزيله بالتأكيد.‏ | 
da	Ja, den skal væk. 
el	Εντάξει, πες ότι αφαιρέθηκε ήδη. 
en	Yeah, yeah, yeah. | No, consider that gone. | 
es-eu	Sí, dalo por hecho. 
es	Sí. No, considéralo hecho. 
fi	Kyllä. Ilman muuta. 
he	&rlm;‏כן. לא, תתייחס לזה כאילו שזה כבר לא קיים.‏ | 
id	Ya. Anggap saja tidak ada. 
it	Certo, consideralo sparito. 
ko	그래, 그렇게 해야지 | 
nl	Ja, die gaat eruit. 
pl	Jasne, nie ma sprawy. 
pt-br	Sim, considere eliminado. 
pt	Sim. Vai sair de certeza. 
ro	Da, e ca și rezolvat. 
ru	Да-да. Считайте, его уже нет. 
sv	Ja, visst. Den ska bort. 
th	ได้ๆ ได้เลย ถือว่าทิ้งไปเลย | 
tr	Evet, evet. Çıktı bilin. 
vi	Được rồi. Không, coi như xong. | 
zh-long	是呀，會拿掉的 
zh-short	好的 没问题 
no	Ja. Det er så godt som borte. 
ja	ああ　あれは外すよ | 
fr	Comme si c'était fait. 

en	[screams] Oh my… 

