ja	もっとはっきり発音して | 
ru	Почетче, пожалуйста. Я не понимаю. 
id	Aku tidak paham perkataanmu. 
ko	또박또박 말해주세요 | 못 알아듣겠어요 | 
ar	&rlm;‏يجب أن تلفظ بشكل جيد. لا يمكنني أن أفهم.‏ | 
da	Du må artikulere. Jeg forstår ikke. 
el	Πρέπει να μιλήσεις πιο καθαρά. Δεν καταλαβαίνω. 
en	You need to enunciate. | I can't understand what you are saying. | 
es	Debes enunciar mejor. No te entiendo. 
es-eu	Tienes que vocalizar. No te entiendo. 
fi	Puhu selvästi. En ymmärrä. 
fr	Faut articuler. Je comprends rien. 
he	&rlm;‏אתה צריך לדבר יותר ברור. אני לא מבינה.‏ | 
it	Devi articolare. Non si capisce niente. 
nl	Je moet articuleren, ik versta je niet. 
no	Du må snakke tydelig. Jeg forstår ikke. 
pl	Mów wyraźniej. Nic nie rozumiem. 
pt-br	Precisa falar claramente. Não entendo. 
pt	Tem de pronunciar bem. Não consigo perceber. 
ro	Vorbește mai clar. Nu te înțeleg. 
sv	Du måste artikulera. Jag förstår inte. 
th	คุณต้องพูดชัดๆ ฉันไม่เข้าใจ | 
tr	Tane tane söyle. Anlamıyorum. 
vi	Anh cần nói cho rõ từ. Tôi không hiểu. | 
zh-long	你講清楚一點，我聽不懂 
zh-short	你得发音发清楚了 我听不明白 

en	[laughing, crying] 

