id	Kau tidak membunuhnya, bukan? 
ar	&rlm;‏هل قتلته؟‏ | 
da	Du slog ham vel ikke ihjel? 
el	Το σκότωσες; 
en	You didn't kill him, did you? | 
fi	Et kai tappanut sitä? 
fr	Tu l'as pas tué, quand même ? 
he	&rlm;‏לא הרגת אותו, נכון?‏ | 
it	Non l'avrai mica ucciso? 
ko	죽인 건 아니죠? | 
nl	Je hebt hem toch niet gedood? 
no	Du drepte ham vel ikke? 
pl	Chyba go nie zabiłeś? 
pr-br	Você não o matou, certo? 
pr	Não o mataste, pois não? 
ro	Doar nu l-ai omorât, nu? 
sp-eu	No lo habrás matado, ¿verdad? 
sp	No lo mataste, ¿verdad? 
sv	Du dödade den väl inte? 
th	คุณไม่ได้ฆ่ามันใช่ไหม | 
tr	Onu öldürmedin, değil mi? 
vi	Anh không giết nó chứ? | 
zh-long	你不會殺了牠吧？ 
zh-short	你不是把浣熊杀了吧？ 
ja	まさか殺したの？ | 
ru	Ты же его не убил? 

