ja	森に入って | 家族の元へ戻っていったよ | 
id	Aku melihat dia kembali ke hutan, menemui keluarganya lagi... 
ru	Я видел, как он ушел назад в лес к своей семье. 
ar	&rlm;‏‏رأيته يعود إلى الغابة مجدداً | &rlm;‏ليرى عائلته، لذا...‏ | 
da	Jeg så ham gå ud i skoven til sin familie. 
fr	Je l'ai vu partir dans la forêt pour rejoindre sa famille... 
he	&rlm;‏‏ראיתי אותו חוזר ליער | &rlm;‏לראות את המשפחה שלו, אז...‏ | 
it	L'ho visto raggiungere la sua famiglia nel bosco. 
nl	Ik zag hem het bos in gaan, naar z'n gezin, dus... 
no	Jeg så ham gå ut i skogen igjen til familien sin, så... 
pr-br	Eu o vi ir para a floresta para ele ver a família novamente, então... 
pr	Vi-o a voltar para a floresta para ir ter com a família, por isso... 
ro	Am văzut cum s-a dus iar în pădure, ca să-și vadă familia, deci... 
sp-eu	Lo he mandado de vuelta al bosque a ver a su familia. 
sp	Lo vi irse de nuevo al bosque a ver a su familia... 
sv	Jag såg den springa ut i skogen, till sin familj... 
zh-long	我看牠跑回森林跟家人團聚了… 
fi	Passitin sen takaisin metsään perheensä luo. 
ko	가족을 만나러 숲으로 | 다시 들어가던걸 | 
th	เห็นมันหายเข้าป่าไปหาครอบครัว | 
zh-short	我送它回树林跟家人团聚去了 
tr	Onu ormana yolladım, ailesini görmeye gitti. 
pl	Widziałem, jak podreptał do lasu do rodziny. 
vi	Tôi thấy nó trở về rừng | đoàn tụ với gia đình nó, nên... | 
el	Τον είδα να γυρίζει στο δάσος, για να δει την οικογένειά του, οπότε... 
en	I seen him go out into the forest again | to see his family, so... | 

