ar	&rlm;‏حسناً. هذا يكفي.‏ | 
da	Så er det nok. 
el	Εντάξει, αρκετά. 
en	All right. That's enough. | 
fi	Nyt riittää. 
fr	Bon, j'en ai assez vu. 
he	&rlm;‏בסדר. זה מספיק.‏ | 
it	Bene. Basta così. 
nl	Oké. Genoeg. 
pl	Dość. 
pr-br	Certo. Basta. 
pr	Pronto. Já chega. 
ro	Gata. Până aici! 
sp	Está bien. Suficiente. 
sp-eu	Vale. Ya está bien. 
sv	Det räcker. 
th	เอาละ นั่นพอแล้ว | 
tr	Pekâlâ. Bu kadar yeter. 
vi	Được rồi. Đủ rồi. | 
zh-long	好了，可以了 
zh-short	行了 够了 
id	Baiklah. Sudah cukup. 
ru	Так. Всё, хватит. 
ko	더는 못 보겠네 | 
ja	もういい | 
no	Ja vel. Det holder. 

