ja	絨毯(じゅうたん)が汚れちゃうね | 
ru	Разуться... А, ковер. Да. 
id	Lepas... Karena karpetmu. Ya. 
ar	&rlm;‏أخلع... من أجل سجادك؟ أجل.‏ | 
da	Tager skoene... På grund af gulvtæppet? Ja. 
el	Να βγάλω τα... Α, για τη μοκέτα σου. 
en	Take off my... Oh, for your rug? | 
es-eu	Que me quite... ¿Para tu alfombra? Sí. 
es	Sacarme los zapatos... ¿Por la alfombra? Sí. 
fi	Riisuisinko... Ai jaa, maton takia. 
fr	Mes chaussures... Pour le tapis ? D'accord. 
he	&rlm;‏לחלוץ את ה... בשביל השטיח שלך? כן.‏ | 
it	Togliermi... Per il tappeto. Certo. 
no	Ta av... På grunn av teppet? Ja. 
pl	Co? A, przez dywan. 
pr-br	Tirar meus... Por causa do tapete? Sim. 
pr	Descalçar... Por causa do tapete? Sim. 
ro	Să-mi scot... Din cauza covorului? Da. 
sv	Tar av mig... För mattans skull. 
th	ถอดรองเท้า พรมคุณ อ๋อใช่ | 
tr	Çıkarayım... Halın için. Tabii. 
vi	Cởi giày... Thảm của chị? Phải rồi. | 
zh-long	脫鞋子…免得弄髒地毯 
zh-short	脱掉我的… 免得弄脏地毯吗？好的 
nl	Voor het kleed? M'n schoenen zijn eigenlijk schoner dan mijn sokken, maar... 
ko	양탄자 때문이군요, 그래요 | 

no	-Ok. -Kodeordet er "gresskar". 
ar	‫كلمة السر هي يقطينة.‬ | 
cs	Kódové slovo je dýně. 
da	Kodeordet er græskar. 
de	Codewort "Kürbis". 
el	Είναι "κολοκύθα". 
en	Code word is pumpkin. 
es-eu	La palabra es calabaza. 
es	La palabra es "calabaza". 
fr	Mot de passe : citrouille. 
he	‫מילת הקוד היא "דלעת".‬ | 
hr	Šifra je „bundeva“. 
hu	A jelszó a tökfej. 
id	Kodenya adalah labu. | 
it	La parola è "zucca". 
ko	암호는 '펌킨'이다 
ms	Perkataannya ialah labu. 
pl	Hasło to „dynia”. 
pt	A palavra é abóbora. 
pt-br	O código é "abóbora". 
sv	Kodordet är "pumpa". 
th	รหัสคือฟักทอง 
tr	Kod kelime balkabağı. 
vi	Từ mã là bí ngô. 
zh-long	代號是南瓜 
zh-short	代码词汇是南瓜 
ru	Кодовое слово — «тыква». 
ro	Parola e „dovleac”. 

