id	Semuanya, minggir. Beri jalan. 
en	Buddy, move. Move! | 
nl	Aan de kant, iedereen. 
ar	&rlm;‏‏- تحركوا جميعاً. ابتعدوا عن الطريق! | &rlm;‏- بأي اتجاه...‏ | 
da	-Flyt jer. Af banen! -Hvilken vej skal du... 
el	-Κουνηθείτε. Κάνε στην άκρη! -Προς τα πού... 
fi	-Pois tieltä. -Mihin suuntaan... 
fr	- Du balai. Dégage le passage ! - De quel côté... 
he	&rlm;‏‏כולם לזוז. זוז מהדרך! | &rlm;‏-לאיזה כיוון את...‏ | 
it	- Via tutto. Fate passare! - Da che parte... 
no	-Flytt dere! -Hvilken vei... 
pl	- Uwaga. Z drogi! - Czyli gdzie? 
pr-br	-Saiam todos. Saiam da frente! -Para onde você... 
pr	- Saiam todos. Saia da frente! - Para onde... 
ro	- Mișcați-vă! La o parte! - Pe unde... 
sp-eu	- Apartad todos. ¡Fuera! - ¿Hacia dónde...? 
sp	- Todos a un lado. ¡Salgan! - ¿De qué lado...? 
sv	-Flytta på er! Ur vägen! -Åt vilket håll ska ni... 
th	- ทุกคนขยับ ออกไปให้พ้นทาง | - ทางไหนที่คุณ... | 
tr	-Herkes çekilsin. Yoldan çekilin! -Hangi yoldan... 
vi	- Tránh ra nào. Tránh đường! | - Cô đi đường nào... | 
zh-long	-讓開！快讓開！ -妳要往哪邊… 
zh-short	-让让 让开！ -你要走哪边 
ko	- 다들 비켜요! | - 어느 쪽으로요? | 
ru	Пропустите! С дороги! 
ja	通るわよ　道をあけて | 

