ru	Засыпай, детка! Пора баю-бай! 
id	Tidurlah, Sayang. Kini saatnya tidur. 
ar	&rlm;‏اذهب للنوم يا طفلي! حان وقت النوم!‏ | 
da	Godnat med dig, baby! Så er det godnattid! 
el	Πήγαινε για ύπνο, μωρό μου! Ώρα για καληνύχτα! 
fi	Nukkumaan, vauveli! Nyt lähdet unten maille! 
fr	Ferme tes petits yeux ! C'est l'heure de faire dodo ! 
he	&rlm;‏לך לישון, מותק! הגיע הזמן לשכב לישון!‏ | 
it	Vai a dormire, piccolo! È l'ora della nanna! 
ko	이제 잘 시간이야, 아가! | 잘 자렴! | 
nl	Ga maar slapen, schat. Tijd om te slapen. 
no	Sov nå! På tide å si nattinatt! 
pl	Pójdziesz lulu! Pora na dobranoc! 
pr-br	Hora de mimir! É hora de nanar! 
pr	Vai dormir! Está na hora da soneca! 
ro	La culcare, iubitule! E timpul să-nchizi ochișorii! 
sp-eu	¡A dormir, cariño! ¡Es de noche! 
sp	¡Ve a dormir, cariño! ¡Buenas noches! 
sv	Dags att sova, raring. Nattinatti! 
th	ไปนอนซะ เบบี๋ ได้เวลาปิดตาแล้ว | 
tr	Uyu bakalım yavrum! Mışıl mışıl uyuma zamanı geldi! 
vi	Đi ngủ đi, nhóc! Đến giờ ngủ rồi! | 
zh-long	睡吧，寶貝！該說晚安囉！ 
zh-short	睡吧 宝贝！该睡觉了！ 
en	Go to sleep, baby! | It's night-night time! [grunts] | 
ja	おやすみ ベイビー | ねんねの時間だ | 

