ja	外の犬たちが | 有酸素運動に使える | 
ru	Кстати, собаки - прекрасные тренеры. 
id	Anjingnya juga baik untuk jantung. 
ar	&rlm;‏بالمناسبة، الكلاب مفيدة لتمرين القلب.‏ | 
el	Οι σκύλοι είναι καλοί για καρδιακές ασκήσεις. 
es	A propósito, los perros son buenos para aeróbicos. 
es-eu	Por cierto, los perros ayudan a hacer cardio. 
fr	Les chiens, c'est top pour le cardio. 
he	&rlm;‏דרך אגב, הכלבים הם אימון טוב ללב.‏ | 
it	A proposito, i cani sono perfetti per il cardiofitness. 
no	Hundene er også gode til trening. 
pl	A psy dobrze robią na kondycję. 
pr	A propósito, os cães são um bom exercício de cardio. 
pr-br	Aliás, os cachorros são bons para treinar aeróbico. 
ro	Apropo, câinii te ajută să faci cardio. 
sv	Hundarna är bra för konditionen. 
th	จะบอกให้ว่าพวกหมานั่นดีกับหัวใจ | 
tr	Bu arada, köpekler kardiyo için iyi oluyor. 
vi	Nhân tiện, lũ chó tốt cho tim đấy. | 
zh-long	那些狗對心肺功能有好處 
zh-short	顺便说说 被狗追是很好的有氧运动 
en	-By the way, the dogs are good for cardio. | -Oh. | 
fi	Koirista saa muuten hyvää kardiotreeniä. 
nl	De honden zijn trouwens goed voor cardio. 
da	Hundene er forresten gode til konditionstræning. 
ko	참고로 개들은 | 심장 강화 운동에 좋아 | 

en	-♪ From my laboratory… ♪ -[screaming] 

