ja	やったことない？ | 
id	Pernah bermain sebelumnya? 
ar	&rlm;‏هل لعبت من قبل؟‏ | 
da	Har du spillet det nogensinde? 
el	Έχεις ξαναπαίξει; 
en	Have you ever played before? | 
es-eu	¿Has jugado alguna vez? 
es	¿Jugaste alguna vez? 
fi	Oletko koskaan pelannut? 
fr	T'as déjà joué ? 
he	&rlm;‏שיחקת כבר בעבר?‏ | 
it	Non hai mai giocato? 
ko	쳐본 적 있어? | 
nl	Heb je het eerder gedaan? 
no	Har du spilt før? 
pl	Grałaś już kiedyś? 
pr	Alguma vez jogaste? 
pr-br	Você já jogou? 
ro	Ai mai jucat vreodată? 
sv	Har du nånsin spelat förut? 
th	เคยเล่นมาก่อนไหม | 
tr	Daha önce oynamış mıydın? 
vi	Cô chơi bao giờ chưa? | 
zh-long	妳打過嗎？ 
zh-short	你打过吗？ 
ru	Ты когда-нибудь играла? 

en	♪ They did the monster mash… ♪ 

