id	Kemarilah. 
ar	&rlm;‏‏- تعال إلى هنا. | &rlm;‏- ما الذي تفعلينه؟‏ | 
da	-Kom her. -Hvad laver vi? 
el	-Έλα εδώ. -Τι θα κάνουμε; 
en	-Come over here. | -What are we doing? | 
es-eu	- Ven aquí. - ¿Qué estamos haciendo? 
es	- Ven aquí. - ¿Qué estamos haciendo? 
fi	-Tule tähän. -Mitä nyt? 
fr	- Viens là. - Pour quoi faire ? 
he	&rlm;‏‏בוא הנה. | &rlm;‏-מה את עושה?‏ | 
it	- Vieni qui. - Che facciamo? 
nl	Kom hier. -Wat gaan we doen? 
no	-Kom hit. -Hva skal vi? 
pl	- Podejdź. - Co robimy? 
pr-br	-Venha aqui. -O que vamos fazer? 
pr	- Vem cá. - Para quê? 
ro	- Hai încoace! - Ce facem? 
sv	-Kom hit. -Vad ska vi göra? 
th	- มานี่ | - เราจะทำอะไร | 
tr	-Gel buraya. -Ne yapıyoruz? 
vi	- Lại đây. | - Ta làm gì nào? | 
zh-long	-過來 -要幹嘛？ 
zh-short	-过来 -干吗？ 
ko	- 이리 와 봐요 | - 뭐하려고? | 
ru	-Иди сюда. -Что мы делаем? 
ja	来て | 

en	[laughs] 

