ja	その後 王者になったのよ | 
id	sebelum dia mengunci Ted DiBiase demi memenangkan sabuk! 
ar	&rlm;‏قبل أن يثبت "تيد ديبياسي" ليفوز بالحزام!‏ | 
da	før han endelig slog Ted DiBiase og vandt bæltet! 
el	μέχρι να νικήσει τον Τεντ Ντι Μπιάζι και πάρει τον τίτλο! 
en	before he finally pinned Ted DiBiase | to win the belt, man! | 
es	antes de poder vencer a Ted DiBiase ¡y ganar el cinturón! 
es-eu	antes de inmovilizar a Ted DiBiase para ganar el cinturón. 
fi	ennen kuin voitti vyön Ted DiBiaselta. 
fr	avant de battre Ted DiBiase et de remporter le titre ! 
he	&rlm;‏‏לפני שהוא סוף סוף ניצח את טד דיביאסי | &rlm;‏וזכה בחגורת האליפות!‏ | 
it	prima di immobilizzare Ted DiBiase e vincere il titolo! 
nl	...voor hij Ted DiBiase klem had en de titel won. 
no	før han endelig slo Ted DiBiase og vant beltet! 
pl	zanim załatwił Teda DiBiase i zdobył pas! 
pr	até vencer o Ted DiBiase e ganhar o cinto de campeão! 
pr-br	antes de finalmente nocautear Ted DiBiase e ganhar o cinturão! 
ro	până când a reușit să-l învingă pe Ted DiBiase și să câștige centura! 
th	ก่อนที่จะเอาชนะเท็ด ดีไบอาส | และได้เข็มขัดในที่สุด | 
tr	o kemeri kazanana kadar 24 kere yenildi! 
vi	rồi mới hạ được Ted DiBiase | để giành ngôi vô địch! | 
zh-long	才終於打敗泰德迪比亞西 贏得冠軍腰帶 
zh-short	才摔倒泰德迪比亚斯赢下了腰带！ 
ru	до того как выиграл пояс у Теда Дибиаси! 
ko	벨트를 차지하기 위해 | 24번 맞았어요 | 

en	[man]  Whoo-hoo! 

