ru	Ну не прелесть? 
id	Manis sekali, bukan? 
ar	&rlm;‏أليس هذا رائعاً؟‏ | 
da	Er det ikke sødt? 
el	Δεν είναι αξιαγάπητο; 
en	Is that adorable? | 
es-eu	¿No es adorable? 
es	¿No es adorable? 
fi	Eikö olekin suloista? 
fr	C'est pas adorable ? 
he	&rlm;‏זה לא מקסים?‏ | 
it	Non è adorabile? 
ko	진짜 귀엽지? | 
nl	Schattig, toch? 
no	Er det søtt? 
pl	Urocze. 
pr-br	Não é adorável? 
pr	Não é adorável? 
ro	Nu e adorabilă? 
sv	Är det inte underbart? 
th	นั่นน่ารักไหม | 
tr	Ne müthiş, değil mi? 
vi	Đáng yêu không? | 
zh-long	可愛吧？ 
zh-short	这多好啊？ 
ja	さすがだろ？ | 

en	[moaning, laughing] 

