ar	&rlm;‏حان وقت النوم!‏ | 
da	Så er det godnat med dig! 
el	Ώρα για ύπνο! 
en	It's time to go night-night! | 
es	¡Es hora de las buenas noches! 
es-eu	¡Es hora de irse a dormir! 
fi	Nyt lähdet unten maille! 
fr	C'est l'heure de faire dodo ! 
he	&rlm;‏הגיע הזמן לשכב לישון!‏ | 
it	È l'ora della nanna! 
nl	Het is tijd om te gaan slapen. 
no	På tide å si nattinatt! 
pl	Pora na dobranoc! 
pr-br	É hora de nanar! 
pr	Está na hora da soneca! 
ro	E timpul să-nchizi ochișorii! 
sv	Dags att säga nattinatti! 
th	ได้เวลาปิดตาแล้ว | 
tr	Mışıl mışıl uyuma vakti geldi! 
vi	Đến lúc đi ngủ rồi! | 
zh-long	睡覺時間到囉！ 
zh-short	该睡觉了！ 
id	Saatnya tidur! 
ru	Пора баю-бай! 
ko	이제 잘 시간이야! | 
ja	ねんねの時間だよ！ | 

en	-♪ Trick, trick or treat ♪ -[Adam grunts] 

