en	[bell dings] | 

pt	Viverás para sempre nos nossos corações e sentimos a tua falta todos os dias. 
ar	‫ستعيش إلى الأبد في قلوبنا‬ | ‫وقد افتقدناك حقًا كل يوم."‬ | 
cs	Žiješ navždy v našich srdcích a chybíš nám každý den. 
da	VI VIL FOR ALTID HUSKE DIG, OG DU ER SAVNET HVER DAG. 
el	Θα ζεις για πάντα στην καρδιά μας και θα μας λείπεις κάθε μέρα. 
fr	Tu vivras à jamais dans nos cœurs et nous manques tous les jours. 
he	‫- לנצח תחיה בליבנו‬ | ‫וחסרונך מורגש באמת בכל יום ויום. -‬ | 
it	Vivi per sempre nei nostri cuori e ci manchi ogni giorno. 
ko	"우리 마음에 영원히 간직하고 매일 그리워할 것입니다" 
nl	Je leeft voor altijd voort in ons hart en we zullen je elke dag missen. 
ru	НАМ НЕ ХВАТАЕТ ТЕБЯ. ТЫ БУДЕШЬ ВЕЧНО ЖИТЬ В НАШИХ СЕРДЦАХ. 
th	(คุณจะอยู่ในใจของเราตลอดไป และเป็นที่คิดถึงอย่างแท้จริงทุกวัน) 
tr	SONSUZA DEK KALBİMİZDE YAŞAYACAKSIN VE HER GÜN ÖZLENECEKSİN. 
vi	CẬU SỐNG MÃI TRONG TIM CHÚNG TÔI VÀ ĐƯỢC NHỚ VỀ MỖI NGAY. 
zh-long	（你永遠活在我們心中 我們永遠懷念你） 
zh-short	（你永远活在我们心中 每一天都被我们思念着） 
es-eu	Vives para siempre en nuestros corazones y cada día te echamos de menos. 
no	Du lever videre i våre hjerter og er dypt savnet hver eneste dag. 
es	VIVIRÁS PARA SIEMPRE EN NUESTROS CORAZONES, 
ro	Trăiești veșnic în inimile noastre și ne e dor de tine în fiecare zi. 
ja	&lrm;君の魂は我々の心で | &lrm;永遠に生き続ける | 
pt-br	Você vive para sempre em nossos corações e faz falta todos os dias. 
fi	Elät ikuisesti sydämissämme, ja sinua kaivataan kovasti joka päivä. 
pl	Na zawsze pozostaniesz w naszych sercach i bardzo za tobą tęsknimy. 
id	KAU SELAMANYA ADA DI HATI KAMI | DAN KAMI RINDUKAN SETIAP HARI. | 
sv	Du lever vidare i våra tankar och du fattas oss varje dag. 
hr	Zauvijek ćeš živjeti u našim srcima. Nedostaješ nam svaki dan. 
hu	SZÍVÜNKBEN ÖRÖKKÉ ÉLSZ, ÉS MINDENNAP HIÁNYZOL. 
de	Du lebst in unseren Herzen weiter und fehlst uns jeden Tag. 
ms	Kamu kekal di hati kami dan dirindui setiap hari. 
es	TE EXTRAÑAMOS CADA DÍA. 

