fr	Vous voulez l'écouter ? 
nl	Willen jullie dat horen? 
fi	Haluatteko kuulla, lapset? 
ru	-Дети, хотите послушать? -Да! 
ar	&rlm;‏‏- أتودون سماع ذلك يا أطفال؟ | &rlm;‏- أجل!‏ | 
da	-Vil I høre det, børn? -Ja! 
el	-Θέλετε να το ακούσετε, παιδιά; -Ναι! 
en	-Would you like to hear that, kids? | -[children] Yeah! | 
he	&rlm;‏‏אתם רוצים לשמוע את השיר, ילדים? | &rlm;‏-כן!‏ | 
it	- Volete ascoltarla? - Sì! 
ko	- 들어볼래, 얘들아? | - 좋아요! | 
no	-Vil dere høre? -Ja! 
pl	- Chcecie posłuchać, dzieci? - Tak! 
pr-br	-Gostariam de ouvir, crianças? -Sim! 
pr	- Querem ouvir? - Sim! 
ro	- Vreți s-o auziți, copii? - Da! 
sp-eu	- ¿Os gustaría oírla, chicos? - ¡Sí! 
sp	- ¿Quieren oírlo, niños? - ¡Sí! 
sv	-Vill ni höra det? -Ja! 
th	- อยากได้ยินไหม เด็กๆ | - อยาก | 
tr	-Dinlemek ister misiniz çocuklar? -Evet! 
vi	- Các cháu muốn nghe không? | - Có ạ! | 
zh-long	-大家想聽聽看嗎？ -想！ 
zh-short	-你们想听吗 孩子们？ -想！ 
id	- Kalian mau dengar? - Ya! 
ja	聴きたいかい？ | 

