ja	めまいがする | ベーコンビッツを食べすぎた | 
pl	W głowie mi się kręci. Zjadłem za dużo boczku z puszki. 
id	Aku agak pusing. Makan Bacon Bits terlalu banyak pagi ini. 
ar	&rlm;‏‏أشعر بالدوخة. تناولت الكثير | &rlm;‏من قطع لحم الخنزير.‏ | 
da	Lidt svimmel. Jeg spiste for mange baconstykker. 
el	Ζαλίζομαι λίγο. Έφαγα πολλές κροκέτες μπέικον. 
en	Maybe a little dizzy. | I had too many bacon bits this morning. | 
es-eu	Estoy un poco mareado. He comido demasiados Bacon Bits. 
es	Me siento mareado. Comí mucho trocitos de tocino. 
fi	Huippaa vähän. Söin liikaa pekoninmuruja. 
fr	J'ai un peu le tournis. Trop mangé de miettes de bacon. 
he	&rlm;‏‏יש לי קצת סחרחורת. | &rlm;‏אכלתי יותר מדי "בייקון ביטס".‏ | 
it	Sono un po' stordito. Ho mangiato troppo bacon. 
nl	Beetje duizelig. Ik at te veel bacon bits. 
no	Litt svimmel. Jeg spiste for mange Bacon Bits. 
pr-br	Estou meio tonto. Comi Bacon Bits demais. 
pr	Estou um pouco tonto. Comi demasiadas aparas de  bacon. 
ro	Poate sunt un pic amețit. Am mâncat cam mult boabe cu șuncă. 
sv	Jag är lite yr. Jag åt för många baconbitar. 
th	แค่มึนนิดหน่อย | กินเบคอนบิตส์เยอะไปหน่อย | 
tr	Biraz başım dönüyor. Bacon Bits'i fazla kaçırdım. 
vi	Tôi hơi chóng mặt. Sáng nay | tôi ăn nhiều thịt xông khói vụn quá. | 
zh-long	頭有點暈，我吃太多培根丁了 
zh-short	有点晕 我吃了太多培根粒 
ru	Голова кружится. Переел «Бекон Битс». 
ko	조금 어지럽네요 | 베이컨 비츠를 너무 먹었어요 | 

