id	Baiklah. Itu membuatku senang. 
ar	&rlm;‏حسناً. هذا يسعدني كثيراً.‏ | 
da	Okay. Det gør mig meget glad. 
el	Εντάξει. Αυτό με κάνει πολύ χαρούμενο. 
es	Está bien. Eso me hace muy feliz. 
es-eu	Muy bien. Eso me hace muy feliz. 
fi	Se on oikein kiva kuulla. 
fr	Super. Ça me fait très plaisir. 
he	&rlm;‏טוב. זה משמח אותי מאוד.‏ | 
it	Ottimo. Sono molto contento. 
no	Ja vel. Det gjør meg veldig glad. 
pl	Jasne. Bardzo się cieszę. 
pr-br	Está bem. Fico muito feliz com isso. 
pr	Está bem. Fico muito feliz. 
ro	Bine. Sunt foarte mulțumit. 
sv	Det gör mig glad. 
th	ได้ครับ นั่นทำให้ผมแฮปปีมากๆ | 
tr	Tamam. Çok sevinirim. 
vi	Vâng. Tôi vui lắm. | 
zh-long	太好了，這讓我很開心 
zh-short	好的 我对此非常高兴 
en	All righty. That makes me very happy. | 
ru	Ладно. 
ja	どうも　とてもうれしいです | 
ko	좋아요, 그 말을 들으니 | 정말 기쁘네요 | 
nl	Dat maakt me heel gelukkig. 
ru	Я очень рад. 

