id	Kubiarkan kau tangani semuanya. 
ru	Ладно, предоставлю это тебе. 
ja	あんたに任せるよ | 
pl	Ty się zajmij negocjacjami. 
zh-short	我全权交给你处理 行吗？ 
th	งั้นให้นายเป็นคนจัดการทั้งหมดนั่นนะ | 
ar	&rlm;‏سأتركك تتولى كل ذلك، مفهوم؟‏ | 
da	Det vil jeg lade dig om. 
el	Θα σ' αφήσω να τα χειριστείς εσύ αυτά, εντάξει; 
en	Well, I'll let you handle all that, okay? | [chuckles] | 
es	Dejaré que te encargues de todo eso, ¿sí? 
es-eu	Bueno, dejo que tú te encargues, ¿vale? 
fi	Annan sinun hoitaa sen. 
fr	Je te laisse gérer, dans ce cas. 
he	&rlm;‏אתן לך לטפל בכל זה, בסדר?‏ | 
it	Lascerò che sia tu a occupartene, va bene? 
ko	그건 너한테 맡길게, 됐지? | 
nl	Dat laat ik dan aan jou over, goed? 
no	Jeg lar deg ta deg av det. 
pr-br	Vou deixar você cuidar de tudo isso,  está bem? 
pr	Eu deixo-te tratar disso, está bem? 
ro	Te las pe tine să te ocupi, da? 
sv	Du får ta hand om allt. 
tr	Sen halledersin, tamam mı? 
vi	Anh sẽ lo việc đó, được chứ? | 
zh-long	我全權交給你處理，好嗎？ 

