ja	心臓発作じゃない？ | 
id	Kurasa dia terkena serangan jantung. 
ru	Кажется, у него инфаркт. 
nl	Ik denk dat hij een hartaanval heeft. 
ar	&rlm;‏أظنه يُصاب بنوبة قلبية.‏ | 
da	Han har vist fået et hjerteslag. 
el	Νομίζω ότι έπαθε καρδιακή προσβολή. 
en	[Heather] I think | he's having a heart attack. | 
es	Creo que tiene ataque cardíaco. 
es-eu	Creo que le está dando un infarto. 
fi	Hän sai sydänkohtauksen. 
fr	Je crois qu'il fait une attaque. 
he	&rlm;‏אני חושבת שהוא עובר התקף לב.‏ | 
it	Temo che sia un attacco di cuore. 
no	Jeg tror han får hjerteinfarkt. 
pl	Chyba ma zawał. 
pr	Acho que ele está a ter um ataque cardíaco. 
pr-br	Acho que ele está tendo um infarto. 
ro	Cred că are un atac de cord. 
th	ฉันว่าเขากำลังหัวใจวาย | 
tr	Kalp krizi geçiriyor galiba. 
vi	Tôi nghĩ anh ấy bị đau tim. | 
zh-long	他好像心臟病發了 
zh-short	我觉得是心脏病 
ko	심장 발작이 오는 것 같아 | 

