ja	まともに話せてないぞ | 
ru	Даже не думай! Ты говорить не можешь! 
id	Lupakan rapatnya. Kau kesulitan bicara. 
fr	Oublie le contrat. T'arrives même plus à parler. 
ar	&rlm;‏انس أمر الاجتماع. بالكاد يمكنك التحدث.‏ | 
da	Glem det. Du kan næsten ikke tale. 
el	Ξέχνα τη συνάντηση. Δυσκολεύεσαι να μιλήσεις. 
en	Forget the meeting. | You can barely speak. | 
es-eu	Olvídalo. Apenas puedes hablar. 
es	Olvídalo. Casi no puedes hablar. 
fi	Et pysty edes puhumaan. 
he	&rlm;‏תשכח מזה. אתה בקושי יכול לדבר.‏ | 
it	Lascia perdere. Non riesci nemmeno a parlare. 
ko	됐어, 말도 잘 못 하잖아 | 
nl	Vergeet het. Je kunt nauwelijks praten. 
no	Glem det. Du klarer så vidt å prate. 
pl	Nie. Ledwo mówisz. 
pr-br	Sem chance. Você mal consegue falar. 
pr	Esquece isso. Mal consegues falar. 
ro	Las-o baltă! Abia mai poți vorbi! 
sv	Glöm det. Du kan knappt prata. 
th	ลืมไปเลย นายแทบพูดไม่ไหวแล้ว | 
tr	Boş versene. Konuşamıyorsun bile. 
vi	Quên đi. Anh còn không nói nổi nữa. | 
zh-long	算了吧，你根本說不出話 
zh-short	算了 你连说话都困难了 

