ar	&rlm;‏مدينة بائسة؟‏ | 
da	Elendige by? 
el	Θλιβερή πόλη; 
en	Miserable town? | 
es	¿Ciudad triste? 
es-eu	¿Miserable ciudad? 
fi	Kurjassa kaupungissa? 
fr	Cette pitoyable ville ? 
he	&rlm;‏עיר עלובה?‏ | 
it	Miserabile città? 
no	Elendige byen? 
pl	Żałosnym? 
pr-br	Cidade desgraçada? 
pr	Cidade desprezível? 
ro	Oraș nefericit? 
sv	Sorgliga stad? 
th	เมืองเฮงซวยเหรอ | 
tr	Berbat kent mi? 
vi	Thị trấn thảm hại? | 
zh-long	悲慘城市？ 
zh-short	悲惨的城市？ 
nl	Ellendige stad? Die is goed voor je geweest. 
ko	우울한 동네? | 
ru	Вшивый городишко? 
ja	“悲しい街”？ | 君に大成功をくれた街だ | 
id	Kota menyedihkan? 

