ar	&rlm;‏عندما وجدتني‏ | 
da	Da du fandt mig 
el	Όταν με βρήκες 
en	♪ When you found me ♪ | 
fi	Kun mut löysit 
fr	Quand tu m'as trouvée 
he	&rlm;‏כשמצאת אותי‏ | 
it	Quando mi hai trovato 
ko	당신이 날 찾았을 때 | 
nl	toen je me vond 
pl	Kiedy mnie znalazłeś 
pr-br	Quando você me encontrou 
pr	Quando me encontraste 
ro	Când m-ai găsit tu 
sp	Cuando me encontraste 
sp-eu	Cuando me encontraste 
sv	När du hittade mig 
th	เมื่อคุณพบฉัน | 
tr	Sen beni bulduğunda 
vi	Khi anh tìm thấy em | 
zh-long	然後你出現了 
zh-short	我的世界里没有梦想 
id	Saat kau menemukanku 
ru	Когда ты нашел меня 

