ar	&rlm;‏وعندها وجدتني‏ | 
da	Og så fandt du mig 
el	Τότε με βρήκες 
en	♪ That's when you found me ♪ | 
es	Así me encontraste 
es-eu	Entonces me encontraste 
fi	Kun mut löysit 
fr	Quand tu m'as trouvée 
he	&rlm;‏ואז מצאת אותי‏ | 
it	Quando mi hai trovato 
ko	당신이 그때 날 찾았어 | 
nl	toen vond jij me 
pl	Tam mnie znalazłeś 
pr-br	Foi quando você me encontrou 
pr	Foi então que me encontraste 
ro	Atunci m-ai găsit tu 
sv	Det var då du hittade mig 
tr	Beni buldun o günlerde 
vi	Đó là khi anh tìm thấy em | 
zh-long	然後你找到了我 
zh-short	我满足于随波逐流 
ja	そんな私を見つけてくれた | 
ru	И тут ты нашел меня 
th	นั่นคือตอนที่คุณพบฉัน | 
id	Saat itulah kau menemukanku 

