ru	Я думала, что невидима 
ja	誰の目にも留まらなかった私 | 
ar	&rlm;‏ظننت أنني كنت غير مرئية‏ | 
da	Jeg troede, jeg var usynlig 
el	Νόμιζα ότι ήμουν αόρατη 
en	♪ I thought that I was invisible ♪ | 
fi	Luulin olevani näkymätön 
fr	Je me croyais invisible 
he	&rlm;‏חשבתי שהייתי בלתי נראית‏ | 
it	Pensavo di essere invisibile 
nl	ik dacht dat ik onzichtbaar was 
pl	Byłam niewidzialna 
pr-br	Eu achei que era invisível 
pr	Eu pensava que era invisível 
ro	Credeam că sunt invizibilă 
sp-eu	Creía que era invisible 
sp	Pensé que era invisible 
sv	Jag trodde jag var osynlig 
th	ฉันนึกว่าไม่มีใครเห็นฉัน | 
tr	Kendimi görünmez sanırdım 
vi	Em nghĩ em là kẻ vô hình | 
zh-long	我本以為自己若有似無 
zh-short	我以为自己默默无闻 
id	Kukira aku tidak terlihat 
ko	내가 투명인간인 줄 알았는데 | 

