ar	&rlm;‏وسأحبك‏ | 
da	Og jeg vil elske dig 
el	Και θα σ' αγαπάω 
en	♪ And I'm gonna love you ♪ | 
fi	Sua aina rakastan 
fr	Et je t'aimerai 
he	&rlm;‏ואני אוהב אותך‏ | 
id	Karena itulah aku mencintaimu 
it	E io ti amerò 
ko	난 당신을 사랑할 거야 | 
nl	en ik zal van je houden 
pl	Będę cię kochać 
pr-br	E eu vou amar você 
pr	E eu vou amar-te 
ro	Și te voi iubi 
ru	И я буду любить тебя 
sp-eu	Y voy a quererte 
sp	Y te amaré 
sv	Och jag ska älska dig 
th	และฉันจะรักคุณ | 
tr	Ve seni seveceğim 
vi	Và em sẽ yêu anh | 
zh-long	我要愛你 
zh-short	我会一直爱你 
ja	あなたをずっと愛していく | 

