ru	Обожаю эту песню. 
th	ชอบเพลงนี้จัง | 
ja	いい歌だ | 
ar	&rlm;‏أحب هذه الأغنية.‏ | 
da	Jeg elsker den sang. 
el	Το λατρεύω αυτό το κομμάτι. 
en	I love this song. | 
fi	Loistava kappale. 
fr	J'adore cette chanson. 
he	&rlm;‏אני אוהב את השיר הזה.‏ | 
it	Adoro questa canzone. 
ko	이 노래 정말 좋아요 | 
nl	Prachtig nummer. 
no	Jeg elsker den sangen. 
pl	Uwielbiam tę piosenkę. 
pr	Adoro esta canção. 
pr-br	Amo essa música. 
ro	Ador cântecul ăsta. 
sp-eu	Me encanta esta canción. 
sp	Me encanta esta canción. 
sv	Jag älskar den sången. 
tr	Bu şarkıya bayılıyorum. 
vi	Tôi thích bài hát này quá. | 
zh-long	我好愛這首歌 
zh-short	我喜欢这首歌 
id	Aku suka lagu ini. 

