ar	&rlm;‏الأهم.‏ | 
da	Den største. 
el	Η σημαντικότερη. 
en	The biggest. | 
es	El más importante. 
es-eu	El más grande. 
fr	Le plus grand de tous. 
he	&rlm;‏הגדול מכולם.‏ | 
it	Il più importante. 
pr-br	O mais importante de todos. 
pr	O maior. 
ro	Cea mai importantă. 
sv	Den största. 
th	สำคัญที่สุด | 
tr	En önemli gün. 
vi	Ngày quan trọng nhất. | 
zh-long	至關重要 
zh-short	最重要的日子 
id	Yang paling istimewa. 
ja	緊張する | 
ru	Самый большой. 
ko	제일 중요한 날이죠 | 
fi	Kaikista tärkein. 
no	Den største. 
pl	Najważniejszy. 

