id	Bukan pendapatku yang sejujurnya. 
ru	А не то, что думаю на самом деле. 
ja	本心とは違っててもね | 
zh-short	而不是说出我真实的想法 
ko	내 진짜 생각은 얘기하지 않지 | 
pl	a nie to, co naprawdę myślę. 
th	แทนที่จะพูดว่าผมคิดยังไงจริงๆ | 
ar	&rlm;‏بدلاً من أن أخبرهم رأيي الحقيقي.‏ | 
da	I stedet for, hvad jeg egentlig tænker. 
el	Αντί να τους πω αυτό που πραγματικά σκέφτομαι. 
en	rather than what I'm really thinking. | 
fi	En sitä, mitä oikeasti ajattelen. 
fr	Plutôt que de leur dire le fond de ma pensée. 
he	&rlm;‏במקום את מה שאני חושב באמת.‏ | 
it	Piuttosto che dire ciò che penso davvero. 
nl	In plaats van wat ik echt denk. 
no	I stedet for å si det jeg egentlig tenker. 
pr-br	Em vez de dizer o que realmente acho. 
pr	e não aquilo que eu penso. 
ro	Și nu ce gândesc cu adevărat. 
sp	En lugar de lo que pienso en realidad. 
sp-eu	y no lo que estoy pensando de verdad. 
sv	Istället för att säga vad jag tänker. 
tr	Gerçekten düşündüğüm şeyi söylemek yerine. 
vi	Hơn là những gì anh thực sự nghĩ. | 
zh-long	而不是說出我真正的想法 

