ja	男たちは | スターの君を追いかける | 
id	Semua pria itu mengejarmu karena kau luar biasa. 
ru	Все они гонялись за тобой, потому что ты потрясающая. 
ar	&rlm;‏كان جميع أولئك الرجال يلاحقونك لأنك رائعة.‏ | 
da	Alle disse mænd jagtede dig, fordi du er fantastisk. 
el	Όλοι αυτοί οι τύποι σε κυνηγούσαν γιατί είσαι καταπληκτική. 
en	All those guys were chasing you | because you're incredible. | 
fi	Ne miehet jahtasivat sinua, koska olet uskomaton, 
fr	Tous ces types te voulaient, parce que tu es incroyable. 
he	&rlm;‏כל הבחורים האלה רדפו אחרייך כי את מדהימה.‏ | 
it	Tutti loro ti volevano perché sei straordinaria. 
ko	그 녀석들은 네가 대단해서 | 널 좋아한 거야 | 
nl	Al die mannen gingen achter je aan omdat je geweldig bent. 
no	Alle de mennene ville ha deg fordi du er utrolig. 
pl	Tamci uganiali się za tobą, bo jesteś niezwykłą kobietą. 
pr-br	Todos esses caras ficaram no seu pé porque você é incrível. 
pr	Eles andavam todos atrás de ti porque és incrível. 
ro	Toți tipii ăia alergau după tine fiindcă ești incredibilă. 
sp-eu	Todos esos tíos te perseguían porque eres increíble. 
sp	Todos esos tipos te buscaban porque eres increíble. 
sv	Alla de grabbarna jagade dig för att du är enastående. 
th	หนุ่มๆ พวกนั้นไล่ตามคุณ | เพราะคุณพิเศษเหลือเชื่อ | 
tr	Tüm o adamlar senin peşindeydi çünkü sen inanılmaz birisin. 
vi	Mấy gã đó theo đuổi em vì em giỏi. | 
zh-long	這些人追求妳，是因為妳不可思議 
zh-short	那些人追你是因为你出色 

