el	-Το έχεις ζήσει. -Σκάσε. 
id	- Kau pernah mengalaminya. - Diam. 
nl	Dat ken je. -Kop dicht. 
ru	-Тебе это знакомо. -Заткнись. 
sv	-Det känner du till. -Tyst. 
vi	- Anh từng trải qua. | - Im mồm đi. | 
ar	&rlm;‏‏- شهدت ذلك. | &rlm;‏- اخرس.‏ | 
da	-Du har været der. -Ti stille. 
en	-You've been there. | -Shut up. | 
es-eu	- Eso lo has vivido. - Cállate. 
es	- Te ha pasado. - Cállate. 
fi	-Tuttu juttu sinulle. -Suu kiinni. 
fr	- Tu connais ça. - La ferme. 
he	&rlm;‏‏היית שם. | &rlm;‏-תשתוק.‏ | 
it	- Tu ne sai qualcosa. - Zitto. 
ko	- 너도 잘 알잖아 | - 닥쳐 | 
no	-Det kjenner du til. -Kjeften. 
pl	- To znasz. - Milcz. 
pr-br	-Já passou por isso. -Cale a boca. 
pr	- Sabes como é. - Cala-te. 
ro	- Tu știi cum e. - Gura! 
th	- นายเคยแล้วนี่ | - หุบปาก | 
tr	-Bunu yaşadın. -Kapa çeneni. 
zh-long	-在說你啦 -閉嘴 
zh-short	-你体验过 -闭嘴 
ja	お前だ | 

