ja	あんたが便器みたいな | 顔してるのが悪いって | 
en	[Butt-Head] Uh, and he's also sorry | 
id	Dia juga minta maaf 
ar	&rlm;‏وهو آسف أيضاً‏ | 
da	Og han siger også undskyld, 
el	Επίσης, λυπάται 
fi	Ja hän pahoittelee sitä, 
fr	Et il regrette aussi 
he	&rlm;‏והוא גם מצטער | 
it	Gli dispiace anche 
nl	Het spijt hem ook... 
no	Og han er også lei for 
pl	Przykro mu też, 
pr-br	Ele também sente muito 
pr	E também pede desculpa 
ro	Și îi mai pare rău 
ru	И еще ему жаль, 
sp-eu	Y también siente 
sp	Y también lamenta 
sv	Han ber också om ursäkt för 
th	และเขายังเสียใจอีก | 
tr	Yüzün tuvalete benziyor 
vi	Anh ta cũng xin lỗi | 
zh-long	他還很抱歉 
zh-short	并且他很抱歉 
ko	그리고 당신이 변기처럼 생겼고 | 

