id	Baiklah, ayolah. 
pl	Dochodzę do wniosku, chłopcy... 
ru	Так, ребята, кончайте. 
ja	いい加減にしろ | やりすぎだ | 
ar	&rlm;‏حسناً. بربكما.‏ | 
da	Kom nu, gutter. 
el	Εντάξει, ελάτε τώρα, παιδιά. 
en	[Sandy] All right. Okay, come on, guys. | 
fi	Älkää pojat panko halvalla. 
fr	Bon, ça suffit. Faut vous faire suivre, les gars. 
he	&rlm;‏בסדר. אני רוצה לגמור עם זה, בחורים.‏ | 
it	Adesso vengo da voi. 
ko	알았어, 그만해 | 이 녀석들아 | 
nl	Oké, kom op, jongens. 
no	Ja vel. Kom nå, gutter. 
pr-br	Está bem. Ora bolas, caras. 
pr	Pronto. Vamos acabar com a tensão, rapazes. 
ro	Bine. Haideți, băieți! 
sp	Está bien. Acabemos, muchachos. Vamos. 
sp-eu	Está bien. Vale, vamos, chicos. 
sv	Kom på nåt annat, grabbar. 
th	เอาละ โอเค ไม่เอาน่า พวก | 
tr	Pekâlâ. Üzerime gelmeyin çocuklar. 
vi	Được rồi. Thôi đi, các cậu. | 
zh-long	好了，夠了啦 
zh-short	行了 拜托 两位 

