ja	切るぞ　もう行く | 
id	Cukup. Kututup teleponnya. 
ar	&rlm;‏يكفي. سأقطع الاتصال.‏ | 
da	Nu er det nok. Jeg er færdig. 
el	Αυτό ήταν. Τελειώσαμε. 
en	[Sandy] That's it. I'm getting off. | 
fi	Nyt tuli mitta täyteen. 
fr	Ça suffit. Je me tire. 
he	&rlm;‏זהו זה. אני גומר.‏ | 
it	Basta. Ora vengo. 
nl	Genoeg. Ik ben nu klaar. 
pl	Kończę już. 
pr-br	Basta. Vou-me já. 
pr	Pronto. Já me estou a chatear. 
ro	Gata. Termin. 
sp	Basta. Voy a terminar con esto. 
sp-eu	Se acabó. Me voy corriendo. 
th	แค่นั้นนะ วางหูละ | 
tr	Yeter. Attırmayın tepemin tasını. 
vi	Đủ rồi. Tôi dập máy đây. | 
zh-long	好了，我要掛了 
zh-short	够了 我要挂了 
no	Nå holder det. Jeg stikker. 
ru	Так, всё, идите в жопу. 
ko	됐어, 여기까지 하자 | 
sv	Nu räcker det. Jag lägger på. 

