ja	バカ者！ | いい加減にしろ！ | 
ru	Ну всё. 
id	Baiklah. Ayo! 
ar	&rlm;‏حسناً. بربكما!‏ | 
da	Hold nu op! 
el	Εντάξει, φτάνει πια! 
en	-All right. Come on! | -[chuckling] | 
es	Está bien. ¡Basta! 
es-eu	Está bien. ¡Vamos! 
fi	Nyt riittää! 
fr	Bon, c'est fini, oui ! 
he	&rlm;‏בסדר. קדימה!‏ | 
it	Ma andiamo! 
no	Ja vel. Kom igjen! 
pl	Dość tego! 
pr-br	Certo. Vamos lá. 
pr	Pronto. Vá lá! 
ro	Bine. Gata! 
sv	Lägg av! 
th	เอาละ พอแล้ว | 
tr	Pekâlâ. Hadi ama! 
vi	Nào. Thôi đi! | 
zh-long	好了啦！ 
zh-short	行了 别搞事了！ 
ko	좋아, 그만해! | 
ru	Хватит! 

