ar	&rlm;‏"(بلاي بوي)"‏ | 
he	&rlm;‏- פלייבוי -‏ | 
ko	“플레이보이” | 
th	(เพลย์บอย) | 
vi	TẠP CHÍ PLAYBOY | 
zh-long	（《花花公子》） 
zh-short	（《花花公子》） 
ru	«ПЛЕЙБОЙ» 

it	Bene. Ci servono la marca e la targa dell'auto di sua moglie. 
es	Bueno. Díganos el modelo del auto y el número de matrícula de su esposa. 
hr	Dobro. Trebat ćemo njezin model auta i broj pločica. 
pt-br	Certo. Precisamos da marca e da placa do carro da sua esposa. 
uk	Добре. Назвіть марку і номер машини вашої дружини. 
zh-short	好吧 我们需要 你妻子的车辆型号和车牌号 
el	Εντάξει. Χρειαζόμαστε τη μάρκα του αμαξιού της γυναίκας σας και την πινακίδα. 
tr	Tamam, arabasının markasını ve plakasını öğrenmemiz lazım. 
cs	Dobře, potřebujeme znát typ a registrační značku jejího vozu. 
id	Baiklah. Kami butuh merek mobil istrimu dan pelat nomornya. 
fi	Selvä. Tarvitsemme vaimonne | auton mallin ja rekisterinumeron. | 
da	Okay. Vi skal have mærke | og nummer på Deres kones bil. | 
en	All right. We'll need the make and license plate of your wife's car. 
es-eu	Vale, díganos qué coche tiene y el número de la matrícula. 
fr	On a besoin de la marque et de la plaque de sa voiture. 
he	‫טוב. נצטרך את דגם המכונית שלה‬ | ‫ואת מספר לוחית הרישוי.‬ | 
hu	Rendben. Tudnunk kell, milyen autója van és mi a rendszáma. 
ja	&lrm;車種とナンバープレートを | &lrm;教えてください | 
ko	&lrm;부인의 차종과 | &lrm;차량 번호가 필요합니다 | 
ms	Baiklah. Kami perlu tahu jenama dan nombor plat kereta isteri encik. 
nl	We hebben het automerk en het kenteken van uw vrouw nodig. 
no	Greit. Vi trenger din kones bilmerke og skiltnummer. 
pt	Muito bem. Precisamos do modelo e da matrícula do carro da sua mulher. 
ro	Bine. Mai trebuie să știm ce mașină și ce numere de înmatriculare are. 
sv	Då behöver vi veta hennes bilmodell och registreringsnummer. 
th	&lrm;เอาละ ขอรุ่นรถกับทะเบียนรถภรรยาคุณหน่อย | 
vi	&lrm;Được rồi. Chúng tôi cần | &lrm;nhãn hiệu và biển số xe của vợ anh . | 
zh-long	好，我們需要 你老婆的車型和車牌號碼 
ru	Напишите марку машины вашей жены и номерной знак. 

