ja	そんなことは聞くまでもなく | 分かりきってる | 
id	Seperti, "Aku sangat introspektif," atau semacamnya, 
ru	Не нужно заглядывать в себя, 
ar	&rlm;‏‏إن كان الأمر "أنا استبطاني جداً" | &rlm;‏أو ما يشبه ذلك.‏ | 
da	Som var det "mig så indadvendt". 
el	Αν έλεγε "είμαι τόσο ντροπαλός", 
en	If it was, like, "Me So Introspective" | or something like that. | 
fi	Joku "Meitsi on introspektiivinen" - 
fr	Faudrait un truc du genre "Je veux un sens à ma vie", 
he	&rlm;‏אם זה היה "אני כל כך בחשבון נפש" או משהו,‏ | 
it	"Sono molto introspettivo" o roba simile, 
ko	‘나 내성적이야’라거나 | 
pl	Trzeba przypominać im o autorefleksji, 
pr-br	Tipo são introvertidos 
pr	Se fosse "estou tão introspetivo" 
ro	O fi fost varianta mea "introspectivă" 
sp-eu	Es: "Estoy introspectivo", o algo. 
sp	Si fuera "soy muy introspectivo" o algo. 
th	ถ้าเป็น "คิดแล้วคิดอีก" หรืออะไร | 
tr	"İçime Kapandım" falan olabilirdi 
vi	Nếu là "mình thật hướng nội" | hay đại loại vậy. | 
zh-long	應該是“我好會反省”之類的 
zh-short	如果是“我在好好反省”之类的 
nl	'Ik ben zo introspectief' of 'zo tegenstrijdig' of... 
no	Om det var "jeg er så innadvendt" eller "jeg er så ambivalent", eller... 
sv	Om det var "jag är så inåtvänd" eller "jag är så ambivalent" eller... 
ar	&rlm;‏أو "أنا مختلف جداً" أو...‏ | 
da	Eller "mig så ambivalent" eller... 
el	ή "είμαι τόσο αναποφάσιστος"... 
en	Or "Me So Ambivalent" or... | 
fi	tai "Meitsi on ambivalentti"... 
fr	ou "Je veux grandir"... 
he	&rlm;‏או "אני כל כך אמביוולנטי" או...‏ | 
it	oppure "sono molto ambivalente"... 
ko	‘나 양면적이야’라면 | 또 몰라... | 
pl	ambiwalencji... 
pr-br	ou tão ambivalentes ou... 
pr	ou "estou tão ambivalente" ou... 
ro	sau cea "ambivalentă"... 
sp-eu	O: "Me siento ambivalente". 
sp	O "soy ambivalente" o... 
th	หรือ "ลังเลใจจังเลย" หรือ... | 
tr	veya "Karışık Duygular İçindeyim" veya... 
vi	Hay "mình thật mâu thuẫn" hay... | 
zh-long	或“我好矛盾”… 
zh-short	或是“我好矛盾” 
id	atau, "Aku begitu ambivalen,"... 
ru	смотреть по сторонам... 

