ja	放映を禁止する権利はない | 署名しただろ？ | 
id	Aku tidak bisa menghentikan mereka karena kita sudah teken kontrak. 
ru	Я не имею права им запретить. Мы подписали соглашение. 
ar	&rlm;‏‏لا يمكنني منعهم يا "كيفن"، قانونياً، | &rlm;‏لأننا وقعنا على اتفاقية.‏ | 
da	Jeg kan ikke stoppe dem, Kevin, for vi har underskrevet en kontrakt. 
el	Νομικά, δεν μπορώ να τους εμποδίσω, γιατί υπογράψαμε τη συμφωνία. 
en	I can't stop them, Kevin, legally, | 'cause we signed an agreement. | 
es-eu	No puedo impedirlo legalmente, Kevin. Firmamos un acuerdo. 
es	No puedo detenerlos, Kevin, porque firmamos un acuerdo. 
fi	En voi estää sitä, koska allekirjoitimme sopimuksen. 
fr	J'y peux pas grand-chose, on a signé un contrat. 
he	&rlm;‏‏אני לא יכול לעצור אותם מבחינה חוקית, | &rlm;‏כי חתמנו על הסכם.‏ | 
it	Legalmente non posso fermarli, Kevin, abbiamo firmato un contratto. 
nl	Wettelijk gezien kan ik niets doen, want we hebben een contract getekend. 
no	Jeg kan ikke stanse dem, juridisk sett, for vi skrev en kontrakt. 
pl	Nie mogę nic zrobić, podpisaliśmy umowę. 
pr-br	Não posso impedi-los legalmente, Kevin, pois nós assinamos um acordo. 
pr	Legalmente não os posso impedir, Kevin, porque assinámos um acordo. 
ro	Nu-i pot opri legal, Kevin, fiindcă am semnat un contract. 
sv	Jag kan inte stoppa dem, juridiskt sett. Vi har skrivit ett avtal. 
th	ฉันหยุดพวกเขาไม่ได้ เควิน | ตามกฎหมายเราเซ็นสัญญาแล้ว | 
tr	Onları yasal olarak durduramam Kevin çünkü bir anlaşma imzaladık. 
vi	Tôi không thể ngăn họ, Kevin, | về mặt pháp lý, ta đã ký thỏa thuận rồi. | 
zh-long	我沒辦法，凱文，我們簽了合約 
zh-short	我又阻止不了他们 凯文 从法律上来说 因为我们签了合同 
ko	법적으로 막을 방법은 없어 | 계약서에 서명했잖아 | 

en	[door opens, closes] 

